tangential,T_nt,T_cells,columnar,T_to_X,col_uniformity,teacher_in,readout,modulator_on_X,T_ext_share,T_context,score
FB2F_d,glutamate,4,hDeltaL,419,0.44,484,3798,75,0.08,SIP003_a:72;LHPD2a4_a:63;CB4198:63;SMP568_d:60,322.6
FB2K,glutamate,9,PFL2,300,0.23,4338,646,556,0.08,LAL175:173;CB2784:158;LAL075:142;LAL076:120,321.7
FB2D,glutamate,6,hDeltaI,489,0.16,3669,5535,889,0.0,,321.4
FB5AA,glutamate,2,FC2B,481,0.34,89,4326,567,0.1,CRE072:147;CRE105:102;OA-VPM3:82;CRE025:77,319.1
FB6U,glutamate,4,FC2C,503,0.42,186,5575,325,0.02,SIP029:117,318.9
FB5W_b,glutamate,3,FC2A,331,0.38,50,4242,637,0.14,SMP376:44;CRE025:33;PLP162:29;PLP161:25,317.7
FB2F_a,glutamate,6,FC2A,744,0.5,50,4242,637,0.02,LHPV4m1:138,316.7
FB2F_c,glutamate,4,FC2C,414,0.47,186,5575,325,0.0,,315.8
FB5E,glutamate,2,FC2A,427,0.52,50,4242,637,0.04,SMP376:101;CRE025:73,315.8
FB7G,glutamate,4,hDeltaL,793,0.45,484,3798,75,0.03,SMP743:135,315.8
FB2M_b,glutamate,2,FC2A,603,0.48,50,4242,637,0.04,PLP026:48;LHPV5e3:42,314.5
FB1G,acetylcholine,2,FC1B,872,0.24,4191,94,729,0.11,SMP192:158;SIP018:157;LHPV10d1:156;CRE056:91,312.5
FB5N,glutamate,4,FC2A,446,0.49,50,4242,637,0.05,PPL102:110;SMP381_b:96;GNG291:80,312.2
FB4I,glutamate,2,vDeltaK,432,0.28,282,1250,567,0.11,LAL101:71;LAL045:64;CRE044:61;CRE004:43,309.1
FB4Y,serotonin,4,vDeltaK,1376,0.33,282,1250,567,0.01,AVLP705m:291,307.5
FB7E,glutamate,6,FS2,722,0.34,1567,86,294,0.16,ATL004:205;oviIN:205;SIP065:180;CRE074:130,305.7
FB2I_b,glutamate,2,FC1A,357,0.51,2929,88,401,0.04,PS157:70,304.0
FB2M_b,glutamate,2,PFL2,334,0.25,4338,646,556,0.04,PLP026:48;LHPV5e3:42,303.3
FB4O,glutamate,6,FC2B,486,0.26,89,4326,567,0.14,CRE049:299;SMP146:219;MBON22:175;SIP128m:159,301.6
FB6A_c,glutamate,2,hDeltaK,1149,0.47,4805,17,519,0.12,SIP076:505;SMP347:343;SIP005:138;SMP405:127,300.6
FB7G,glutamate,4,FC2C,776,0.33,186,5575,325,0.03,SMP743:135,300.6
FB5N,glutamate,4,PFL2,327,0.23,4338,646,556,0.05,PPL102:110;SMP381_b:96;GNG291:80,298.6
FB4F_a,glutamate,4,vDeltaK,616,0.29,282,1250,567,0.07,CRE004:167;LAL147_a:128;IB005:92,298.0
FB2J_a,glutamate,2,FC2A,468,0.38,50,4242,637,0.1,M_lPNm13:83;WED092:33;aMe26:33,297.7
FB5E,glutamate,2,FR1,488,0.71,3396,21,430,0.04,SMP376:101;CRE025:73,295.9
FB2J_c,glutamate,2,FC2A,515,0.47,50,4242,637,0.03,M_lPNm13:54,295.4
FB2F_b,glutamate,3,hDeltaC,461,0.16,2405,3483,725,0.02,CB1220:53,292.5
FB2C,glutamate,5,FC2A,527,0.36,50,4242,637,0.09,SMP180:122;SMP012:97;SMP188:81;SMP374:75,291.9
FB5E,glutamate,2,PFR_b,592,0.31,7543,87,701,0.04,SMP376:101;CRE025:73,291.2
FB4G,glutamate,2,vDeltaK,394,0.22,282,1250,567,0.15,CRE005:257;CRE004:128;CRE023:112;MBON25-like:86,291.0
FB2B_a,unclear,4,FC1A,945,0.44,2929,88,401,0.01,LHPV5e3:85,290.1
FB1H,dopamine,2,FC2A,347,0.5,50,4242,637,0.03,CRE024:225;SMP133:184,288.2
FB6D,glutamate,2,hDeltaL,370,0.23,484,3798,75,0.21,SMP215:687;SMP354:211;SMP186:204;PRW009:126,288.0
FB2M_a,glutamate,4,FC2B,842,0.31,89,4326,567,0.05,PLP026:107;CB3056:100,287.0
FB8H,glutamate,6,hDeltaF,327,0.49,41,2431,38,0.36,CB1617:236;CB4022:197;CB4023:157;LHPV5a3:151,280.5
FB6E,glutamate,2,FC2C,674,0.3,186,5575,325,0.03,SMP504:58;SMP186:53,280.3
FB2F_a,glutamate,6,FR1,1111,0.62,3396,21,430,0.02,LHPV4m1:138,280.1
FB4P_a,glutamate,4,PFR_b,963,0.19,7543,87,701,0.1,CRE028:275;CRE106:151;SMP122:143;SMP123:138,280.1
FB6D,glutamate,2,hDeltaF,2047,0.47,41,2431,38,0.21,SMP215:687;SMP354:211;SMP186:204;PRW009:126,280.0
FB1C,dopamine,4,PFNm_b,750,0.14,1160,916,781,0.08,SMP192:346;SIP004:330;AVLP705m:230;CRE067:224,279.3
FB1C,dopamine,4,PFNm_a,372,0.22,998,1134,414,0.08,SMP192:346;SIP004:330;AVLP705m:230;CRE067:224,279.0
FB6W,glutamate,2,FC2B,787,0.28,89,4326,567,0.06,SMP541:72;CRE025:66;SMP376:45,276.3
FB2F_b,glutamate,3,FC2A,512,0.46,50,4242,637,0.02,CB1220:53,276.2
FB2M_a,glutamate,4,PFL2,334,0.2,4338,646,556,0.05,PLP026:107;CB3056:100,276.0
FB4K,glutamate,4,vDeltaK,424,0.21,282,1250,567,0.13,CRE067:399;CRE027:187;CRE107:177;SMP179:159,275.3
FB2D,glutamate,6,FC1D,1994,0.34,2084,161,326,0.0,,274.7
FB5A,gaba,4,FS2,983,0.43,1567,86,294,0.04,SMP192:379;CRE086:333;CRE085:282,274.6
FB5A,gaba,4,FC3_b,521,0.36,1021,221,455,0.04,SMP192:379;CRE086:333;CRE085:282,272.4
FB1G,acetylcholine,2,FC3_c,579,0.29,1249,138,386,0.11,SMP192:158;SIP018:157;LHPV10d1:156;CRE056:91,272.2
FB4H,glutamate,2,vDeltaL,1116,0.1,2304,192,636,0.2,MBON25-like:207;MBON34:135;PLP161:134;CRE059:130,271.8
FB7D_b,glutamate,4,hDeltaL,913,0.4,484,3798,75,0.0,,270.9
FB3C,gaba,13,FS2,947,0.39,1567,86,294,0.06,PLP046:547,270.4
FB1G,acetylcholine,2,FC3_a,556,0.28,637,246,406,0.11,SMP192:158;SIP018:157;LHPV10d1:156;CRE056:91,268.9
FB2A,dopamine,4,PFNa,420,0.23,23390,70,540,0.09,LHPV6q1:356;LAL203:286;OA-VPM3:212,268.5
FB5AA,glutamate,2,FR1,497,0.51,3396,21,430,0.1,CRE072:147;CRE105:102;OA-VPM3:82;CRE025:77,268.2
FB1G,acetylcholine,2,FC1F,797,0.29,2638,60,447,0.11,SMP192:158;SIP018:157;LHPV10d1:156;CRE056:91,267.3
FB6A_a,glutamate,2,hDeltaF,3787,0.46,41,2431,38,0.16,SIP076:458;SMP347:239;SMP407:219;SMP034:215,265.7
FB4G,glutamate,2,vDeltaL,1221,0.12,2304,192,636,0.15,CRE005:257;CRE004:128;CRE023:112;MBON25-like:86,265.5
FB2D,glutamate,6,FC1B,3516,0.23,4191,94,729,0.0,,265.4
FB1B,glutamate,4,FC2C,304,0.25,186,5575,325,0.09,SMP167:83;CB4023:71;SLP414:65;SLP347:51,265.3
FB7I,glutamate,5,FC2C,695,0.32,186,5575,325,0.0,,265.1
FB8G,glutamate,6,hDeltaL,478,0.31,484,3798,75,0.08,SMP505:188;SMP095:155;SMP379:114,264.2
FB4Y,serotonin,4,PFL2,327,0.22,4338,646,556,0.01,AVLP705m:291,262.9
FB5D,glutamate,3,FC2B,345,0.27,89,4326,567,0.1,SMP123:213;SMP122:185;SMP124:153;OA-VPM3:125,262.9
FB5AB,acetylcholine,2,vDeltaI_a,489,0.26,59,1433,1068,0.15,CRE103:333;CB1434:230;MBON13:227;LHPV5e1:224,262.0
FB2F_c,glutamate,4,FC2B,522,0.38,89,4326,567,0.0,,261.6
FB6C_b,glutamate,6,hDeltaF,2989,0.43,41,2431,38,0.19,SLP405_c:414;SMP250:331;PRW001:288;SLP340:287,260.8
FB1C,dopamine,4,vDeltaK,378,0.25,282,1250,567,0.08,SMP192:346;SIP004:330;AVLP705m:230;CRE067:224,260.4
FB4E_c,glutamate,2,PFR_b,393,0.24,7543,87,701,0.07,CRE028:63;SMP376:29;LAL199:26,258.9
FB5I,glutamate,2,FC2B,394,0.25,89,4326,567,0.1,SMP011_b:126;SMP011_a:109;SLP247:106;SMP504:87,258.8
FB2B_a,unclear,4,FC1B,1269,0.27,4191,94,729,0.01,LHPV5e3:85,257.6
FB2G_a,glutamate,2,hDeltaM,403,0.16,363,5353,586,0.07,SMP568_b:46;LHPD2a4_a:45;CB1220:43,256.8
FB3C,gaba,13,FC3_a,1352,0.26,637,246,406,0.06,PLP046:547,256.8
FB8I,glutamate,6,hDeltaF,404,0.54,41,2431,38,0.24,SMP095:331;ATL004:234;SMP743:142;SMP082:134,256.3
FB6B,glutamate,2,FC2C,342,0.21,186,5575,325,0.11,SMP408_d:90;CB2814:88;CB2572:70;SIP067:57,255.3
FB5AB,acetylcholine,2,vDeltaG,1002,0.23,54,1633,651,0.15,CRE103:333;CB1434:230;MBON13:227;LHPV5e1:224,254.7
FB5O,glutamate,2,FR1,413,0.53,3396,21,430,0.08,CRE025:115;SMP376:81;SMP541:69,254.3
FB7L,glutamate,6,hDeltaF,1721,0.56,41,2431,38,0.12,BiT:184;SMP505:181;AstA1:160;SMP379:156,253.7
FB5A,gaba,4,hDeltaL,469,0.34,484,3798,75,0.04,SMP192:379;CRE086:333;CRE085:282,252.3
FB4E_a,glutamate,5,PFR_b,732,0.12,7543,87,701,0.16,CRE028:301;CL236:90;LAL196:82;SMP376:76,251.8
FB5K,glutamate,2,vDeltaG,1547,0.23,54,1633,651,0.11,CRE042:321;CRE107:135;CB2550:60,250.8
FB6F,glutamate,2,hDeltaF,584,0.52,41,2431,38,0.21,SMP161:136;SMP368:112;SMP249:91;CB2814:91,247.6
FB1E_a,glutamate,5,hDeltaF,474,0.68,41,2431,38,0.12,CB2116:118;CB2398:91;CB4198:67;SIP051:63,247.3
FB6V,glutamate,2,FR1,372,0.53,3396,21,430,0.07,CRE072:174;CRE105:100;CRE025:83,245.2
FB5C,glutamate,3,FS2,440,0.37,1567,86,294,0.08,CRE072:183;OA-VPM3:163;CRE105:143,244.4
FB5AB,acetylcholine,2,vDeltaE,1103,0.23,192,567,227,0.15,CRE103:333;CB1434:230;MBON13:227;LHPV5e1:224,243.9
FB2B_b,glutamate,4,PFL1,1123,0.34,5889,83,247,0.0,,243.2
FB5C,glutamate,3,FR1,801,0.43,3396,21,430,0.08,CRE072:183;OA-VPM3:163;CRE105:143,241.8
FB2D,glutamate,6,FC1F,2248,0.33,2638,60,447,0.0,,241.6
FB1G,acetylcholine,2,FS2,414,0.31,1567,86,294,0.11,SMP192:158;SIP018:157;LHPV10d1:156;CRE056:91,239.6
FB2L,glutamate,4,FC2C,374,0.19,186,5575,325,0.09,SMP011_b:159;SMP012:70;SMP116:50;LHPV5g2:46,239.2
FB5D,glutamate,3,FR1,882,0.38,3396,21,430,0.1,SMP123:213;SMP122:185;SMP124:153;OA-VPM3:125,238.7
FB5AA,glutamate,2,FS2,374,0.34,1567,86,294,0.1,CRE072:147;CRE105:102;OA-VPM3:82;CRE025:77,238.4
FB2A,dopamine,4,FC1A,309,0.3,2929,88,401,0.09,LHPV6q1:356;LAL203:286;OA-VPM3:212,237.4
FB6V,glutamate,2,FS2,502,0.35,1567,86,294,0.07,CRE072:174;CRE105:100;CRE025:83,236.7
FB5AB,acetylcholine,2,FC3_a,594,0.19,637,246,406,0.15,CRE103:333;CB1434:230;MBON13:227;LHPV5e1:224,236.4
FB8H,glutamate,6,FS4A,555,0.39,887,18,122,0.36,CB1617:236;CB4022:197;CB4023:157;LHPV5a3:151,236.0
FB2F_d,glutamate,4,FR1,364,0.49,3396,21,430,0.08,SIP003_a:72;LHPD2a4_a:63;CB4198:63;SMP568_d:60,235.1
FB2F_b,glutamate,3,FC2B,1135,0.24,89,4326,567,0.02,CB1220:53,234.9
FB6Z,glutamate,2,hDeltaF,313,0.4,41,2431,38,0.34,SLP281:248;SLP405_b:177;SMP186:135;SMP379:129,233.9
FB5AB,acetylcholine,2,vDeltaF,1359,0.23,60,1043,364,0.15,CRE103:333;CB1434:230;MBON13:227;LHPV5e1:224,232.0
FB6W,glutamate,2,FR1,362,0.51,3396,21,430,0.06,SMP541:72;CRE025:66;SMP376:45,231.0
FB4M,dopamine,4,PFNv,310,0.1,11836,66,1110,0.19,SMP377:1111;PLP246:660;SIP064:468;CRE059:415,230.4
FB1G,acetylcholine,2,FC3_b,833,0.16,1021,221,455,0.11,SMP192:158;SIP018:157;LHPV10d1:156;CRE056:91,229.2
FB7D_a,glutamate,4,hDeltaL,654,0.33,484,3798,75,0.0,,229.0
FB7I,glutamate,5,FS2,1056,0.38,1567,86,294,0.0,,228.0
