bodyId,type,instance,somaSide,nt
190935,PFNp_a,PFNp_a,L,acetylcholine
191259,PFNp_d,PFNp_d,L,acetylcholine
191479,PFNp_a,PFNp_a,R,acetylcholine
191537,PFNp_b,PFNp_b,R,acetylcholine
191542,PFNp_b,PFNp_b,R,acetylcholine
191593,vDeltaA_a,vDeltaA_a(AB)_C5,L,acetylcholine
191647,PFNp_b,PFNp_b,L,acetylcholine
191658,PFNp_d,PFNp_d,L,acetylcholine
191750,vDeltaL,vDeltaL_C8,R,acetylcholine
191842,PFNp_d,PFNp_d,L,acetylcholine
191925,FS4A,FS4A_C5_R,R,acetylcholine
191926,vDeltaM,vDeltaM_C3,L,acetylcholine
192086,FS4A,FS4A_C6_L,L,acetylcholine
192098,vDeltaM,vDeltaM_C7,L,acetylcholine
192268,PFNp_a,PFNp_a,L,acetylcholine
192382,PFNp_b,PFNp_b,L,acetylcholine
192491,vDeltaA_a,vDeltaA_a(AB)_C8,R,acetylcholine
192595,FS4A,FS4A_C3_L,L,acetylcholine
192705,FS4A,FS4A_C5_L,L,acetylcholine
192736,vDeltaA_a,vDeltaA_a(AB)_C5,L,acetylcholine
193075,FS4B,FS4B_C5_L,L,acetylcholine
193259,vDeltaK,vDeltaK_C7,L,acetylcholine
193364,vDeltaL,vDeltaL_C5,R,acetylcholine
193573,vDeltaA_a,vDeltaA_a(AB)_C5,L,acetylcholine
193682,PFNp_d,PFNp_d,R,acetylcholine
193713,PFNp_b,PFNp_b,L,acetylcholine
193942,FS4A,FS4A_C7_L,L,acetylcholine
193965,PFNp_a,PFNp_a,L,acetylcholine
194050,FS4B,FS4B_C5_L,L,acetylcholine
194136,vDeltaA_a,vDeltaA_a(AB)_C8,R,acetylcholine
194176,FS3_b,FS3_b_C5_R,R,acetylcholine
194305,vDeltaA_a,vDeltaA_a(AB)_C8,R,acetylcholine
194333,PFNp_b,PFNp_b,R,acetylcholine
194350,PFNp_b,PFNp_b,R,acetylcholine
194486,FS3_d,FS3_C3_R,R,acetylcholine
194491,PFNm_a,PFNm_a_L3_C2,L,acetylcholine
194511,PFNp_b,PFNp_b,L,acetylcholine
194601,PFNp_b,PFNp_b,L,acetylcholine
194604,PFNp_b,PFNp_b,L,acetylcholine
194655,FS2,FS2_C7_L,L,acetylcholine
194727,vDeltaA_a,vDeltaA_a(AB)_C6,L,acetylcholine
194795,PFNp_b,PFNp_b,R,acetylcholine
195138,PFNp_d,PFNp_d,R,acetylcholine
195150,PFNp_e,PFNp_e,L,acetylcholine
195151,PFNp_b,PFNp_b,L,acetylcholine
195467,PFNp_b,PFNp_b,L,acetylcholine
195587,PFNp_d,PFNp_d,R,acetylcholine
195664,PFNp_a,PFNp_a,R,acetylcholine
196104,PFNp_b,PFNp_b,L,acetylcholine
196199,FS4A,FS4A_C4_R,R,acetylcholine
196296,PFNp_b,PFNp_b,L,acetylcholine
196388,vDeltaL,vDeltaL_C5,L,acetylcholine
196397,PFNp_a,PFNp_a,R,acetylcholine
196482,SA3,SA3_bilateral_R,R,glutamate
196662,PFNp_b,PFNp_b,R,acetylcholine
196901,FS3_c,FS3_c_C7_R,R,acetylcholine
197172,PFNp_b,PFNp_b,L,acetylcholine
197180,FS4A,FS4A_C3_R,R,acetylcholine
197321,PFNp_b,PFNp_b,L,acetylcholine
197565,FS3_b,FS3_b_C6_L,L,acetylcholine
197575,FS3_d,FS3_C4_R,R,acetylcholine
197863,FS4A,FS4A_C3_R,R,acetylcholine
198030,vDeltaA_a,vDeltaA_a(AB)_C6,R,acetylcholine
198031,PFNp_d,PFNp_d,R,acetylcholine
198243,vDeltaM,vDeltaM_C2,L,acetylcholine
198252,vDeltaA_a,vDeltaA_a(AB)_C4,L,acetylcholine
198364,FS3_d,FS3_C5_L,L,acetylcholine
198844,PFNp_b,PFNp_b,L,acetylcholine
199106,FS3_d,FS3_C6_L,L,acetylcholine
199436,SA1_b,SA1_b_R,R,glutamate
199798,PFNp_c,PFNp_c,L,acetylcholine
199972,vDeltaA_a,vDeltaA_a(AB)_C6,R,acetylcholine
200208,PFNp_b,PFNp_b,L,acetylcholine
200345,PFNp_d,PFNp_d,L,acetylcholine
200627,PFNp_a,PFNp_a,L,acetylcholine
200851,vDeltaA_a,vDeltaA_a(AB)_C6,R,acetylcholine
200962,FS3_d,FS3_C5_R,R,acetylcholine
201759,FS4A,FS4A_C4_R,R,acetylcholine
201774,vDeltaA_a,vDeltaA_a(AB)_C9,L,acetylcholine
201797,PFNp_d,PFNp_d,L,acetylcholine
201868,FS4B,FS4B_C7_L,L,acetylcholine
202238,PFNp_d,PFNp_d,R,acetylcholine
202506,PFNp_a,PFNp_a,R,acetylcholine
203142,PFNp_b,PFNp_b,R,acetylcholine
203227,FS3_d,FS3_C5_L,L,acetylcholine
