post,pre,syn,share,pre_superclass,pre_nt,pre_n,hb_syn,hb_share
FB2H_a,M_l2PNm14,51,0.028,cb_intrinsic,acetylcholine,2,33,0.017
FB4F_c,PLP161,208,0.028,cb_intrinsic,acetylcholine,4,0,
FB5G_c,CRE074,82,0.028,cb_intrinsic,glutamate,2,0,
FB5G_c,oviIN,82,0.028,cb_intrinsic,gaba,2,0,
FB5L,CRE107,96,0.028,cb_intrinsic,glutamate,2,123,0.025
FB5T,GNG291,57,0.028,cb_intrinsic,acetylcholine,2,0,0.0
FB5V_a,SMP471,201,0.028,cb_intrinsic,acetylcholine,2,0,
FB6A_a,SMP347,239,0.028,cb_intrinsic,acetylcholine,12,0,
FB6C_b,SIP076,232,0.028,cb_intrinsic,acetylcholine,20,16,0.003
FB6I,PRW009,101,0.028,cb_intrinsic,acetylcholine,6,0,0.0
FB6R,SMP133,83,0.028,cb_intrinsic,glutamate,10,12,0.005
FB7G,SMP743,135,0.028,cb_intrinsic,acetylcholine,4,0,0.0
FB8B,aMe8,123,0.028,visual_projection,unclear,4,85,0.022
FB8F_a,SLP405_c,134,0.028,cb_intrinsic,acetylcholine,6,44,0.011
FB8H,CB4107,127,0.028,cb_intrinsic,acetylcholine,9,0,0.0
FB9C,CB3055,70,0.028,cb_intrinsic,acetylcholine,7,0,
LCNOp,LAL043_c,186,0.028,cb_intrinsic,gaba,2,0,0.0
SAF,FB9B_d,70,0.028,cb_intrinsic,glutamate,4,62,0.027
FB1D,SLP211,104,0.027,cb_intrinsic,acetylcholine,2,74,0.026
FB1D,CB4139,102,0.027,cb_intrinsic,acetylcholine,5,0,0.0
FB3A,AN06B009,319,0.027,ascending_neuron,gaba,2,0,0.0
FB4A_a,CRE107,113,0.027,cb_intrinsic,glutamate,2,0,
FB4O,SMP146,219,0.027,cb_intrinsic,gaba,2,189,0.035
FB4X,CRE042,239,0.027,cb_intrinsic,gaba,2,209,0.025
FB5AB,CRE103,333,0.027,cb_intrinsic,acetylcholine,10,116,0.013
FB5D,SMP122,185,0.027,cb_intrinsic,glutamate,3,60,0.012
FB5G_c,SMP542,81,0.027,cb_intrinsic,glutamate,2,0,
FB5H,CRE027,224,0.027,cb_intrinsic,glutamate,4,156,0.02
FB5P,SMP180,94,0.027,cb_intrinsic,acetylcholine,2,20,0.007
FB5Q,SMP376,184,0.027,cb_intrinsic,glutamate,2,140,0.025
FB6H,SMP095,196,0.027,cb_intrinsic,glutamate,4,81,0.012
FB6N,CRE107,80,0.027,cb_intrinsic,glutamate,2,40,0.01
