tangential,columnar,syn,conc,peak_col_deg,n_tangential_cells,tangential_nt,columns
FB2H_b,FC1E,336,0.14,316,2,glutamate,0:69;45:24;90:48;135:22;180:36;225:39;270:59;315:39
FB4F_a,vDeltaK,616,0.14,19,4,glutamate,0:130;45:84;90:87;135:65;180:62;225:40;270:111;315:37
PFNp_c,PFNm_a,1744,0.14,20,40,acetylcholine,0:453;45:185;90:264;135:105;180:293;225:93;270:245;315:106
FB5W_b,FC2A,331,0.14,317,3,glutamate,0:62;45:49;90:20;135:29;180:36;225:52;270:39;315:44
FB2K,hDeltaM,425,0.14,342,9,glutamate,0:56;45:71;90:41;135:45;180:38;225:44;270:60;315:70
PFNp_b,vDeltaI_b,891,0.14,233,136,acetylcholine,0:185;90:145;135:69;180:157;225:113;270:183;315:39
FB4E_a,FR1,319,0.14,58,5,glutamate,0:58;45:43;90:44;135:57;180:18;225:42;270:24;315:33
FB2F_a,FC1D,433,0.14,34,6,glutamate,0:57;45:53;90:90;135:47;180:18;225:64;270:32;315:72
PFNp_e,PFNm_a,394,0.14,339,23,acetylcholine,0:109;45:41;90:48;135:17;180:46;225:59;270:53;315:21
FB3A,PFR_a,370,0.14,194,4,glutamate,0:52;45:33;90:24;135:68;180:56;225:65;270:38;315:34
LNO1,PFNv,3989,0.13,2,4,gaba,0:999;45:236;90:797;135:212;180:525;225:189;270:795;315:236
LCNOpm,PFNm_b,2060,0.13,324,2,glutamate,0:605;45:46;90:269;135:298;180:22;225:397;270:296;315:127
FB6I,hDeltaL,959,0.13,1,2,glutamate,0:122;30:92;60:72;90:58;120:70;150:85;180:73;210:95;270:90;300:76;330:126
FB6E,hDeltaF,543,0.13,126,2,glutamate,0:55;60:120;120:115;180:84;240:99;300:70
FB8E,hDeltaE,485,0.13,344,5,glutamate,0:54;45:87;90:84;135:27;180:7;225:97;270:75;315:54
FB5A,FC2B,2887,0.13,25,4,gaba,0:495;45:392;90:326;135:464;180:212;225:307;270:222;315:469
FB2M_b,hDeltaA,559,0.13,305,2,glutamate,0:80;30:28;60:18;90:45;120:51;150:25;180:54;210:45;240:36;270:57;300:50;330:70
FB6N,vDeltaF,880,0.13,300,2,glutamate,0:249;45:67;90:52;135:57;180:155;225:135;270:92;315:73
FB6U,hDeltaG,398,0.13,278,4,glutamate,0:51;45:54;90:33;135:37;180:32;225:88;270:49;315:54
FB6A_a,hDeltaL,528,0.13,27,2,glutamate,0:69;30:55;60:53;90:31;120:53;150:29;180:48;210:52;270:47;300:40;330:51
FB4K,FC2A,1078,0.13,348,4,glutamate,0:225;45:147;90:85;135:126;180:114;225:118;270:128;315:135
FB1G,FC3_b,833,0.13,328,2,acetylcholine,0:116;45:68;90:140;135:89;180:25;225:139;270:98;315:158
EPG,PFL2,1036,0.13,352,46,acetylcholine,0:237;45:118;90:127;135:68;180:153;225:80;270:148;315:105
FB2B_a,FC1A,945,0.13,354,4,unclear,0:180;45:107;90:118;135:89;180:122;225:69;270:123;315:137
FB5AB,FC3_a,594,0.13,291,2,acetylcholine,0:70;45:113;90:23;135:55;180:56;225:123;270:69;315:85
FB4P_a,FR1,776,0.13,15,4,glutamate,0:141;45:134;90:59;135:129;180:40;225:96;270:89;315:88
FB2F_a,FR1,1111,0.13,340,6,glutamate,0:251;45:95;90:123;135:132;180:92;225:149;270:123;315:146
FB4C,hDeltaI,328,0.13,217,2,glutamate,0:33;30:13;60:2;90:62;120:11;150:23;180:32;210:27;240:57;270:24;300:21;330:23
ExR5,FC3_a,537,0.13,248,4,glutamate,0:52;45:82;90:39;135:68;180:41;225:110;270:101;315:44
FB8I,hDeltaD,667,0.13,339,6,glutamate,0:93;45:111;90:61;135:64;180:67;225:80;270:82;315:109
FB8G,hDeltaL,478,0.13,38,6,glutamate,0:48;30:70;60:45;90:41;120:22;150:39;180:40;210:61;270:35;300:33;330:44
FB2F_d,hDeltaL,419,0.13,38,4,glutamate,0:38;30:50;60:37;90:40;120:31;150:32;180:49;210:22;270:39;300:45;330:36
Delta7,PFNm_b,1002,0.13,325,42,glutamate,0:258;45:28;90:157;135:117;180:22;225:186;270:136;315:98
FB5N,PFL2,327,0.13,211,4,glutamate,0:45;45:30;90:34;135:25;180:79;225:38;270:45;315:31
FB1G,FS2,414,0.13,359,2,acetylcholine,0:61;45:64;90:53;135:49;180:20;225:55;270:55;315:57
FB6K,hDeltaC,492,0.13,346,4,glutamate,0:65;30:27;60:46;90:48;120:16;150:43;180:36;210:22;240:49;270:43;300:20;330:77
FB2D,hDeltaI,489,0.13,212,6,glutamate,0:31;30:25;60:12;90:75;120:42;150:47;180:17;210:44;240:72;270:62;300:39;330:23
FB4Z_a,hDeltaI,383,0.13,228,8,glutamate,0:33;30:14;60:18;90:46;120:15;150:29;180:49;210:31;240:51;270:34;300:19;330:44
FB6C_a,FC2C,342,0.13,310,2,glutamate,0:52;45:37;90:41;135:27;180:32;225:52;270:45;315:56
FB4Y,PFL3,476,0.13,213,4,serotonin,0:69;45:41;90:46;135:54;180:93;225:58;270:86;315:29
FB4Y,vDeltaI_b,398,0.13,189,4,serotonin,0:79;90:68;135:42;180:82;225:48;270:55;315:24
FB5V_c,hDeltaK,359,0.13,264,5,glutamate,0:40;30:26;60:22;90:29;120:2;150:26;180:41;210:46;240:41;270:22;300:25;330:39
FB4K,vDeltaL,470,0.13,175,4,glutamate,0:72;45:31;90:57;135:74;180:82;225:61;270:60;315:33
PFNp_c,vDeltaG,306,0.13,193,40,acetylcholine,0:38;45:10;90:36;135:71;180:28;225:40;270:53;315:30
FB2F_c,FC2C,414,0.13,336,4,glutamate,0:92;45:52;90:41;135:35;180:45;225:50;270:64;315:35
FB6A_a,PFGs,1227,0.12,358,2,glutamate,0:247;45:172;90:137;135:130;180:105;225:151;270:162;315:123
FB5D,hDeltaG,424,0.12,154,3,glutamate,0:40;45:40;90:71;135:65;180:53;225:65;270:46;315:44
FB5L,vDeltaE,562,0.12,87,2,glutamate,0:132;45:20;90:130;135:58;180:90;225:29;270:91;315:12
FB7G,hDeltaE,817,0.12,185,4,glutamate,0:74;45:86;90:108;135:99;180:140;225:124;270:97;315:89
FB6A_b,hDeltaL,448,0.12,49,2,glutamate,0:64;30:32;60:49;90:30;120:54;150:31;180:40;210:37;270:41;300:44;330:26
FB6X,hDeltaG,318,0.12,235,2,glutamate,0:51;45:19;90:31;135:46;180:35;225:60;270:43;315:33
FB4F_c,PFL2,772,0.12,262,6,glutamate,0:118;45:63;90:87;135:66;180:112;225:103;270:145;315:78
Delta7,PFNm_a,853,0.12,49,42,glutamate,0:206;45:128;90:97;135:50;180:195;225:50;270:77;315:50
FB4N,hDeltaJ,973,0.12,174,2,glutamate,0:76;30:52;60:81;90:72;120:69;150:122;180:139;210:64;240:68;270:110;300:45;330:75
FB4Q_b,FC2A,421,0.12,4,2,glutamate,0:83;45:55;90:36;135:59;180:48;225:34;270:48;315:58
FB1H,hDeltaB,459,0.12,156,2,dopamine,0:25;30:16;60:77;90:40;120:25;150:43;180:64;210:24;240:48;270:48;300:28;330:21
FB2G_a,hDeltaJ,355,0.12,15,2,glutamate,0:45;30:24;60:31;90:39;120:18;150:33;180:29;210:15;240:23;270:28;300:23;330:47
FB5Q,PFL2,472,0.12,238,4,glutamate,0:83;45:27;90:41;135:59;180:84;225:54;270:79;315:45
FB5E,FR1,488,0.12,337,2,glutamate,0:98;45:56;90:54;135:45;180:51;225:63;270:61;315:60
FB8I,hDeltaF,404,0.12,140,6,glutamate,0:53;60:80;120:76;180:75;240:77;300:43
FB5I,FC2B,394,0.12,343,2,glutamate,0:45;45:75;90:37;135:35;180:43;225:43;270:54;315:62
FB2B_b,FC1E,682,0.12,316,4,glutamate,0:111;45:74;90:104;135:52;180:48;225:86;270:147;315:60
FB4M,PFNd,977,0.12,163,4,dopamine,0:96;45:103;90:130;135:166;180:130;225:137;270:126;315:89
FB2H_b,FC1D,334,0.12,346,2,glutamate,0:45;45:36;90:51;135:41;180:13;225:49;270:36;315:63
PFNp_c,vDeltaD,386,0.12,147,40,acetylcholine,0:62;45:11;90:72;135:68;180:50;225:41;270:55;315:27
FB2B_a,FC1E,458,0.12,341,4,unclear,0:89;45:46;90:79;135:33;180:34;225:49;270:96;315:32
PFNp_c,PFNm_b,908,0.12,301,40,acetylcholine,0:271;45:6;90:119;135:126;180:4;225:221;270:119;315:42
PFNp_b,vDeltaK,394,0.12,95,136,acetylcholine,0:65;45:55;90:65;135:44;180:63;225:33;270:56;315:13
PFNp_b,vDeltaE,303,0.12,359,136,acetylcholine,0:89;45:9;90:36;135:52;180:24;225:21;270:47;315:25
