body_pre,body_post,weight
34226,11497,105
511844,516110,105
10099,51555,105
10099,14871,105
10099,519140,105
10099,37142,105
513702,530449,105
12802,27109,105
526638,63277,105
17016,26287,105
527199,21664,105
11053,26443,105
523807,10969,105
25371,24387,105
11516,69262,105
77090,15210,105
521814,23325,105
29493,19602,105
46008,21018,105
18504,520818,105
37817,21664,104
10099,53086,104
10099,46764,104
12359,65180,104
19564,27425,104
527297,11433,104
520818,34188,104
12802,20520,104
536441,520435,104
12802,42739,104
518220,25194,104
515295,11497,104
12506,526548,104
12506,27296,104
26913,27109,104
525062,512319,104
17801,567101,104
11503,20007,104
454614,13395,104
11053,513283,103
23779,25024,103
18065,30122,103
12656,58834,103
17816,12802,103
11326,11433,103
10099,34188,103
10099,514405,103
514126,526548,103
20520,531009,103
19072,12656,103
533946,518704,103
520817,55527,103
27109,79615,103
526638,24387,103
523807,516110,103
18899,30122,103
518220,98391,103
568502,12656,103
21664,42264,102
513520,523806,102
22086,16800,102
513702,20781,102
21345,513702,102
53618,514180,102
53618,49869,102
39798,12656,102
59969,13732,102
561332,43040,102
49869,53618,102
77311,32805,102
12802,19100,102
12802,34924,102
10969,522991,102
10969,12506,102
10969,29135,102
53043,10537,102
515963,513034,102
521634,17820,102
16008,520817,102
10099,526548,102
27618,10537,102
10099,513517,102
10099,517763,102
20520,19443,102
92188,294178,102
10453,529127,102
533946,32122,102
533946,30122,102
10453,13418,102
512927,519140,102
12656,22084,102
12359,182269,102
519347,13985,102
19072,11886,102
12359,177762,102
513702,42231,102
23281,12656,102
18504,513520,101
516919,18851,101
11053,39753,101
16315,61451,101
555342,20007,101
68917,14677,101
17078,12656,101
12506,15616,101
11433,22084,101
73853,522853,101
73853,523032,101
520817,28791,101
30068,69704,101
20653,50808,101
25939,14881,101
25939,524717,101
10969,32258,101
11197,63277,101
10969,520210,101
12506,34188,101
10969,518194,101
10969,23273,101
517012,63277,101
11886,34188,101
11516,70230,101
515130,42231,101
34924,33298,101
515760,13985,101
70573,13142,101
22923,77090,101
513283,11874,101
516666,68271,101
40390,46764,101
22835,17816,101
46008,30068,100
10099,519328,100
10099,520818,100
18419,15713,100
512927,515675,100
12359,14631,100
513702,59994,100
11433,58834,100
521634,11512,100
39753,516110,100
12706,533946,100
12802,17820,100
11516,69541,100
11516,101125,100
45134,49869,100
42739,12083,100
561332,29537,100
38182,21018,100
18899,26439,100
27195,27492,100
524876,33598,100
32675,521635,99
12359,140609,99
20980,22461,99
17820,48491,99
19072,11433,99
14482,454614,99
28339,23315,99
17171,11886,99
515295,20520,99
12797,17402,99
19238,28582,99
521812,520575,99
515192,520338,99
12706,51382,99
10099,27296,99
533946,557395,99
10969,28791,99
102689,24399,99
92188,520575,99
520817,25184,99
22461,23315,99
27179,556502,99
513702,15325,99
47995,28582,99
22884,11886,99
22086,17991,99
18744,520818,99
18899,24387,99
10514,58447,99
516666,85400,99
13732,519346,98
19238,39690,98
514126,26443,98
24399,28190,98
14284,12656,98
10324,34188,98
518220,62463,98
38182,59969,98
10969,522972,98
102689,513217,98
22240,520581,98
11512,515234,98
12506,10539,98
11516,144251,98
11516,125273,98
10514,25808,98
520817,10099,98
13418,39883,98
515687,515960,98
533946,518779,98
513702,18586,98
30234,27109,98
520468,11433,98
19238,88904,98
12674,39883,97
131313,523806,97
521975,13142,97
37751,11497,97
35461,20520,97
39413,17419,97
13395,14308,97
11516,149414,97
11516,73114,97
520581,535347,97
519941,46764,97
12506,37142,97
22240,51159,97
44909,12656,97
30313,31656,97
18666,59969,97
11497,77360,97
20007,512319,97
25494,527199,97
529385,523786,97
20520,524654,97
18779,23325,97
17816,15325,97
533946,533944,97
10099,512514,97
10099,61845,97
10099,22084,97
66977,10744,97
10969,524717,97
16315,67055,97
12359,194491,97
12359,124313,97
46590,17820,97
