pre,post,male_syn,female_syn,male_share,female_share,log2_ratio
FC1C,PLP042,612,620,0.0784,0.1492,-0.93
FB4K,hDeltaH,943,436,0.0323,0.0169,0.93
LAL052,LNO1,403,123,0.0368,0.0193,0.93
PFL2,LAL052,417,338,0.0523,0.0994,-0.92
FB7A,vDeltaB,433,322,0.0438,0.023,0.92
FB4M,PFNd,977,1723,0.02,0.0381,-0.92
vDeltaB,hDeltaD,475,782,0.0223,0.0425,-0.92
OA-VPM3,hDeltaJ,377,513,0.0099,0.019,-0.92
FB2G,hDeltaI,1861,798,0.0504,0.0266,0.92
Delta7,PFNd,4470,7826,0.0917,0.1732,-0.92
SMP371,FS1A,620,449,0.0243,0.0128,0.91
FB4M,PFR,1142,2200,0.0167,0.0316,-0.91
SMP250,FB6C,403,137,0.0377,0.02,0.91
Delta7,EPG,4294,6664,0.0209,0.0394,-0.91
FB5Y,FB6A,402,219,0.0162,0.0085,0.91
PFNv,hDeltaC,780,282,0.0176,0.0094,0.9
OA-VPM3,hDeltaC,353,453,0.008,0.0151,-0.9
IbSpsP,PEN_b,1625,2565,0.0377,0.0704,-0.9
PFR,FB1H,181,433,0.014,0.0262,-0.89
FB6B,FB6K,243,458,0.0446,0.0827,-0.89
,FB5I,268,539,0.0358,0.0663,-0.89
FB1C,vDeltaL,337,582,0.0273,0.0507,-0.89
ExR7,ER3a,780,264,0.0264,0.0142,0.89
FB5K,vDeltaI,1702,577,0.0736,0.0397,0.89
FB2J,hDeltaM,924,390,0.0365,0.0197,0.88
ER3d,ER3p,775,353,0.0407,0.022,0.88
hDeltaB,,37151,86,0.0002,0.0,0.88
FB4M,FB1H,188,446,0.0146,0.027,-0.88
FB6S,FB6A,582,325,0.0235,0.0127,0.88
vDeltaE,FB5L,376,1002,0.1109,0.2037,-0.88
TuBu04,ER3d,1053,383,0.0142,0.0076,0.87
FB5H,hDeltaH,249,407,0.0085,0.0158,-0.87
hDeltaC,FS1A,254,642,0.01,0.0184,-0.87
FB6C,hDeltaG,596,264,0.0206,0.0112,0.86
vDeltaA,FB9A,551,560,0.2028,0.3689,-0.86
WED040,GLNO,469,128,0.0492,0.027,0.86
PFR,FB4B,635,256,0.0621,0.0341,0.86
FB1H,hDeltaJ,1184,1535,0.0312,0.0567,-0.86
LAL133,LNOa,621,202,0.1211,0.067,0.85
vDeltaI,FC2A,1297,811,0.0403,0.0223,0.85
FB5D,hDeltaG,424,189,0.0146,0.008,0.85
EPG,ExR1,2248,877,0.041,0.0227,0.85
FB4D,FB4M,421,503,0.021,0.038,-0.85
ExR5,PFL1,915,578,0.0572,0.0318,0.84
FB6J,hDeltaG,477,698,0.0165,0.0296,-0.84
LPsP,PFNv,344,597,0.0166,0.0299,-0.84
