type_pre,side_pre,type_post,offset_wedges,weight
PEG,L,EPG,0,121
PEG,L,EPG,1,21
PEG,L,EPG,2,6
PEG,L,EPG,4,31
PEG,L,EPG,6,2
PEG,L,EPG,8,40
PEG,L,PEN_b(PEN2),-5,5
PEG,L,PEN_b(PEN2),-3,299
PEG,L,PEN_b(PEN2),-1,24
PEG,L,PEN_b(PEN2),0,12
PEG,L,PEN_b(PEN2),2,286
PEG,L,PEN_b(PEN2),4,14
PEG,L,PEN_a(PEN1),-3,17
PEG,L,PEN_a(PEN1),0,6
PEG,L,PEN_a(PEN1),2,15
PEG,L,PEN_a(PEN1),4,2
PEG,L,PEG,-6,4
PEG,L,PEG,-4,24
PEG,L,PEG,-2,4
PEG,L,PEG,-1,32
PEG,L,PEG,0,14
PEG,L,PEG,1,3
PEG,L,PEG,2,1
PEG,L,PEG,4,32
PEG,L,PEG,6,1
PEG,L,PEG,8,28
PEG,L,Delta7,-7,2
PEG,L,Delta7,-6,1
PEG,L,Delta7,-5,3
PEG,L,Delta7,-3,1
PEG,L,Delta7,0,4
PEG,L,Delta7,5,1
PEG,L,Delta7,6,2
PEG,L,EPGt,0,14
PEG,L,EPGt,4,3
PEG,R,Delta7,-7,1
PEG,R,Delta7,-6,1
PEG,R,Delta7,-4,1
PEG,R,Delta7,0,2
PEG,R,Delta7,7,1
PEG,R,EPGt,0,15
EPGt,R,PEG,0,198
EPGt,R,PEG,1,2
EPGt,R,PEG,2,8
EPGt,R,Delta7,-6,25
EPGt,R,Delta7,-5,8
EPGt,R,Delta7,-4,2
EPGt,R,Delta7,-2,2
EPGt,R,Delta7,0,40
EPGt,R,Delta7,1,4
EPGt,R,Delta7,3,43
EPGt,R,Delta7,5,26
EPGt,R,Delta7,6,17
EPGt,R,Delta7,7,63
EPGt,R,PEN_a(PEN1),0,90
EPGt,R,PEN_a(PEN1),2,5
EPGt,R,EPG,1,1
EPGt,R,EPG,2,1
EPGt,R,EPG,3,1
EPGt,R,PEN_b(PEN2),0,110
EPGt,R,PEN_b(PEN2),3,4
EPGt,R,EPGt,0,2
EPGt,L,PEN_a(PEN1),-5,1
EPGt,L,PEN_a(PEN1),-3,1
EPGt,L,PEN_a(PEN1),0,66
EPGt,L,PEN_a(PEN1),2,2
EPGt,L,PEN_b(PEN2),-3,2
EPGt,L,PEN_b(PEN2),0,91
EPGt,L,PEN_b(PEN2),2,2
EPGt,L,Delta7,-7,40
EPGt,L,Delta7,-6,12
EPGt,L,Delta7,-5,50
EPGt,L,Delta7,-3,13
EPGt,L,Delta7,-1,4
EPGt,L,Delta7,0,39
EPGt,L,Delta7,4,1
EPGt,L,Delta7,5,1
EPGt,L,Delta7,6,22
EPGt,L,EPGt,0,18
EPGt,L,EPG,-4,1
EPGt,L,EPG,-3,2
EPGt,L,EPG,-2,5
EPGt,L,EPG,-1,7
EPGt,L,EPG,0,1
EPGt,L,PEG,-2,1
EPGt,L,PEG,0,157
PEN_b(PEN2),L,EPGt,-3,35
PEN_b(PEN2),L,EPGt,-2,12
PEN_b(PEN2),L,EPGt,0,5
