body_pre,body_post,weight,type_pre,type_post
48642,55415,87,hDeltaG,FC2B
29493,34924,87,PFNv,hDeltaB
22446,33356,87,hDeltaH,FC2B
21932,515675,87,PEN_b(PEN2),EPG
512514,511844,87,EPG,PEG
13732,513034,87,hDeltaI,PFL2
15713,512793,87,EPG,PEG
515232,13490,87,hDeltaI,PFL2
30234,513702,87,PFNd,hDeltaB
39813,11307,87,PEN_b(PEN2),EPG
516110,100809,87,ER6,PEG
45969,512319,87,PEG,ER6
39813,46764,87,PEN_b(PEN2),EL
43127,513702,87,PFNd,hDeltaB
18419,51159,87,PEN_a(PEN1),EL
17820,36059,87,hDeltaB,hDeltaK
47528,32675,87,PFNd,hDeltaB
47528,32718,87,PFNd,hDeltaB
28559,28254,87,PFNv,PFNv
28339,16818,86,ER4d,ER4d
17820,16303,86,hDeltaB,PFR_a
516666,530445,86,hDeltaH,FC2B
529385,51159,86,PEN_b(PEN2),EL
102689,17820,86,PFNv,hDeltaB
27460,512362,86,PFNd,hDeltaB
539328,541855,86,PFGs,hDeltaK
22240,523786,86,PEN_b(PEN2),EPG
17874,522853,86,hDeltaM,PFL2
12358,521813,86,PEN_a(PEN1),EPG
19760,11874,86,PEN_b(PEN2),EPG
25797,527653,86,ER4d,ER4d
27179,17816,86,PFNv,hDeltaB
50808,20980,86,ER4d,ER4d
515234,515232,86,hDeltaA,hDeltaI
34226,32675,86,PFNd,hDeltaB
27109,22657,85,hDeltaB,PFGs
27213,20520,85,PFNd,hDeltaB
16818,22461,85,ER4d,ER4d
23520,24459,85,ER4d,ER4d
22461,28339,85,ER4d,ER4d
513702,26429,85,hDeltaB,hDeltaK
24879,23520,85,ER4d,ER4d
18419,556347,85,PEN_a(PEN1),EPG
25773,27191,85,PFNv,PFNv
512362,23779,85,hDeltaB,PFGs
527653,28339,85,ER4d,ER4d
18639,20279,85,Delta7,PFL1
515232,567101,85,hDeltaI,PFL3
524876,59288,85,hDeltaB,PFR_a
18504,513517,85,PEN_a(PEN1),EPG
533725,19760,85,Delta7,PEN_b(PEN2)
28339,527653,85,ER4d,ER4d
19189,519140,85,PEN_a(PEN1),EPG
102689,17816,85,PFNv,hDeltaB
23315,28339,85,ER4d,ER4d
521646,79549,84,hDeltaI,PFL3
41665,30443,84,ER3a_c,ER3a_c
24382,20715,84,PEN_b(PEN2),EL
22461,20653,84,ER4d,ER4d
30068,17286,84,hDeltaA,PFL3
25773,32718,84,PFNv,hDeltaB
28254,513702,84,PFNv,hDeltaB
19189,512513,84,PEN_a(PEN1),EPG
24076,24459,84,ER4d,ER4d
24076,24122,84,ER4d,ER4d
19602,58561,84,hDeltaB,PFGs
19791,28339,84,ER4d,ER4d
518831,35277,84,hDeltaH,FC2B
17379,19269,84,Delta7,PFL1
529847,19169,84,ER3m,ER3m
14806,19760,84,Delta7,PEN_b(PEN2)
54776,27109,84,PFNd,hDeltaB
520575,512319,83,PEG,ER6
512362,521646,83,hDeltaB,hDeltaI
23080,24076,83,ER4d,ER4d
521812,61590,83,EPG,EL
19791,16818,83,ER4d,ER4d
67167,26038,83,hDeltaA,PFL3
515192,23858,83,hDeltaB,hDeltaK
17820,516663,83,hDeltaB,PFR_b
98874,32675,83,PFNd,hDeltaB
33325,31656,83,PFNd,hDeltaB
25797,22461,83,ER4d,ER4d
18419,11989,83,PEN_a(PEN1),EPG
28791,512928,83,PEN_b(PEN2),EPG
20980,28339,83,ER4d,ER4d
20980,527653,83,ER4d,ER4d
514180,45134,83,ER3p_b,ER3p_b
19760,46073,83,PEN_b(PEN2),EL
14507,61590,83,EPG,EL
31656,27106,83,hDeltaB,hDeltaK
23874,19791,83,ER4d,ER4d
16540,21932,83,Delta7,PEN_b(PEN2)
59969,23159,83,hDeltaA,PFL3
50327,520811,83,hDeltaI,PFL3
50808,20653,82,ER4d,ER4d
50808,24459,82,ER4d,ER4d
19189,515675,82,PEN_a(PEN1),EPG
59969,18586,82,hDeltaA,PFR_a
23080,24459,82,ER4d,ER4d
15176,88342,82,PEN_b(PEN2),EPG
69704,29836,82,hDeltaI,PFL3
22683,522853,82,hDeltaM,PFL2
529385,15713,82,PEN_b(PEN2),EPG
14975,30122,82,hDeltaC,hDeltaF
26739,23090,82,PFNd,hDeltaB
47271,31088,82,ER3p_a,ER3p_a
76194,51159,82,PEN_a(PEN1),EL
524596,511842,82,hDeltaA,PFL2
514045,521409,82,PEN_a(PEN1),EPG
28701,49869,82,ER3d_b,ER3p_b
512513,29713,82,EPG,EL
39753,17419,82,PEG,ER6
521814,512305,82,PEN_a(PEN1),EPG
516919,17290,82,hDeltaA,PFL3
17820,511846,82,hDeltaB,PFR_a
28339,20653,82,ER4d,ER4d
17820,25024,82,hDeltaB,hDeltaK
20980,20653,82,ER4d,ER4d
59969,14729,82,hDeltaA,PFL2
12358,512305,81,PEN_a(PEN1),EPG
11987,526548,81,EPG,EL
28701,45134,81,ER3d_b,ER3p_b
32675,513518,81,hDeltaB,PFR_a
24076,23080,81,ER4d,ER4d
35743,512928,81,PEN_a(PEN1),EPG
