type_pre,type_post,weight
FB6P,hDeltaC,1399
(untyped),hDeltaG,1396
FB5W_b,(untyped),1396
(untyped),Delta7,1394
SA1_a,(untyped),1393
FB6A_a,hDeltaK,1390
EPG,ExR7,1389
PEN_a(PEN1),ER1_b,1389
PFNp_b,PFNm_a,1389
hDeltaA,hDeltaI,1388
FB4H,vDeltaI_b,1386
ER1_c,(untyped),1384
hDeltaD,FB8C,1382
EL,ER2_c,1377
FB4Y,vDeltaK,1376
(untyped),PFGs,1374
hDeltaD,FC2C,1372
hDeltaJ,FB5I,1370
PFNa,hDeltaJ,1368
FB7L,hDeltaE,1366
EL,ER3w_b,1361
FB5AB,vDeltaF,1359
FC1A,FB2B_a,1359
FB5N,hDeltaM,1357
EPG,ER2_a,1357
FB3C,FC3_a,1352
FC1D,PFL1,1349
PFL2,LAL076,1346
FB6P,(untyped),1338
IbSpsP,PFNp_c,1337
ER2_d,ER2_a,1328
PFL3,LAL126,1321
PFNm_b,PFNm_a,1320
FB5Q,FB5A,1317
EPG,ExR5,1316
PFR_b,PFGs,1310
FB4X,FC2B,1310
TuBu02,ER3a_a,1309
IbSpsP,PFNp_a,1308
PFNd,FB4C,1306
PFNa,FB2D,1306
TuBu08,ER4d,1305
PEN_b(PEN2),ExR8,1305
hDeltaK,(untyped),1305
ER2_d,(untyped),1305
PFNa,hDeltaC,1303
PFL3,LAL083,1301
FB5Q,PFL3,1300
FB5Z,FB5S,1291
FB2G_b,PFL3,1286
TuBu10,ER2_c,1283
(untyped),ER5,1277
PFNp_b,vDeltaI_a,1274
FB2B_a,FC1B,1269
ER2_c,ER2_d,1265
hDeltaC,vDeltaD,1262
IbSpsP,PFNm_b,1261
PFR_b,hDeltaH,1261
FC3_a,PFR_a,1261
FB6J,hDeltaL,1259
ER3w_a,ER3w_c,1258
FB8E,hDeltaD,1256
FB5Q,hDeltaM,1256
hDeltaK,FB6A_a,1255
PFNp_a,vDeltaK,1253
ExR7,FB4Y,1252
ER3d_e,ExR1,1252
vDeltaI_a,hDeltaH,1250
FB6Z,hDeltaL,1249
(untyped),hDeltaD,1248
ExR7,LAL013,1247
PEN_a(PEN1),ExR6,1246
PFNp_a,vDeltaL,1244
hDeltaG,FS2,1241
hDeltaJ,FB4A_a,1238
FB7J,hDeltaE,1237
hDeltaJ,FB1H,1236
FB4O,hDeltaJ,1236
ExR1,ER3d_b,1231
FC2B,PFL2,1230
ER3d_e,ER3d_c,1228
FB4D_a,hDeltaJ,1228
FB6A_a,PFGs,1227
hDeltaD,FS4A,1227
PFNp_a,LCNOp,1226
FB6Y,(untyped),1225
LAL085,LNO2,1224
TuBu07,ExR1,1224
PFL3,LAL040,1221
FB4G,vDeltaL,1221
FB8B,ExR1,1220
ER3p_b,ER3p_b,1219
FC3_b,PFR_a,1211
ER3w_a,ER3w_b,1209
FB5U,(untyped),1209
FB4L,hDeltaB,1207
LCNOp,PFNp_b,1203
ER3d_a,ExR1,1200
FB8F_b,FB7A,1198
PFL3,LAL141,1197
FB4O,PFL3,1195
vDeltaA_a,FS4A,1194
FB5V_a,hDeltaA,1192
(untyped),vDeltaA_a,1192
PFL2,LAL073,1190
FB6J,(untyped),1190
FB4C,PFR_a,1184
FB1H,hDeltaJ,1184
EPG,PFL3,1182
PFNp_b,PFNm_b,1180
FB5X,FC2A,1179
Delta7,PEN_a(PEN1),1178
FB5G_a,PFL3,1176
