type,dimorphism,fruDsx,superclass,syn_to_cx,syn_from_cx,top_cx_targets,top_cx_sources
FB2J_c,,fru_low,cb_intrinsic,4216,1247,"[('FC2A', 515), ('hDeltaM', 513), ('FB2F_a', 280), ('FB2M_a', 201)]","[('FB2H_a', 174), ('ExR5', 156), ('FB2I_b', 141), ('FC3_b', 71)]"
FB4L,,fru_low,cb_intrinsic,3775,3588,"[('hDeltaB', 1207), ('PFNd', 510), ('PFR_a', 179), ('FB3A', 131)]","[('PFNd', 570), ('FB2I_a', 365), ('hDeltaB', 322), ('FB4C', 320)]"
FB4O,,fru_high,cb_intrinsic,14084,4313,"[('PFR_a', 1722), ('hDeltaJ', 1236), ('PFL3', 1195), ('hDeltaI', 967)]","[('PFR_a', 953), ('FB4O', 823), ('hDeltaJ', 339), ('FB4P_c', 258)]"
FB4P_a,,fru_high,cb_intrinsic,7034,4502,"[('hDeltaA', 1508), ('PFR_b', 963), ('FR1', 776), ('PFR_a', 606)]","[('hDeltaI', 988), ('ExR5', 433), ('vDeltaK', 298), ('PFR_a', 274)]"
FB4P_b,,fru_high,cb_intrinsic,9821,2453,"[('hDeltaA', 2833), ('PFL3', 1030), ('PFR_a', 895), ('FB4F_c', 663)]","[('PFR_a', 517), ('FB4O', 440), ('FB4P_c', 310), ('hDeltaA', 227)]"
FB4P_c,,fru_high,cb_intrinsic,6298,1850,"[('hDeltaA', 789), ('PFL3', 772), ('PFR_a', 752), ('hDeltaI', 472)]","[('PFR_a', 372), ('FB4O', 319), ('FB4P_b', 238), ('FB4Q_a', 120)]"
FB4Q_a,,fru_high,cb_intrinsic,5331,1615,"[('hDeltaA', 1443), ('PFR_a', 580), ('PFL3', 437), ('FB4F_c', 243)]","[('PFR_a', 324), ('FB4O', 244), ('FB4P_c', 165), ('hDeltaJ', 147)]"
FB4Q_b,,fru_high,cb_intrinsic,2618,1784,"[('FC2A', 421), ('PFL3', 263), ('FB5X', 161), ('hDeltaJ', 151)]","[('FC2A', 607), ('FB4O', 253), ('hDeltaJ', 203), ('PFR_a', 120)]"
FB4Q_c,,fru_high,cb_intrinsic,5414,2442,"[('FC2A', 755), ('hDeltaJ', 725), ('PFR_a', 406), ('PFL3', 347)]","[('hDeltaJ', 580), ('FB4O', 357), ('PFR_a', 288), ('FC2A', 267)]"
FB4R,,fru_high,cb_intrinsic,8574,2385,"[('hDeltaB', 3647), ('PFGs', 670), ('PFR_a', 471), ('FB4R', 370)]","[('PFR_a', 421), ('FB4R', 370), ('vDeltaM', 220), ('PFGs', 211)]"
FB5D,,fru_high,cb_intrinsic,5978,3751,"[('FR1', 882), ('hDeltaH', 704), ('hDeltaA', 537), ('PFR_b', 525)]","[('hDeltaI', 639), ('ExR5', 299), ('vDeltaI_b', 235), ('hDeltaJ', 219)]"
FB5E,,fru_high,cb_intrinsic,4304,2433,"[('PFR_b', 592), ('hDeltaH', 539), ('FR1', 488), ('hDeltaA', 432)]","[('hDeltaI', 317), ('FC2A', 205), ('FB5U', 176), ('FB5R', 141)]"
FB5O,,fru_low,cb_intrinsic,3681,2094,"[('FC2B', 545), ('hDeltaG', 481), ('hDeltaH', 480), ('FR1', 413)]","[('FB5S', 178), ('FB5U', 169), ('FR2', 117), ('FC2A', 110)]"
FB5P,,fru_low,cb_intrinsic,3456,1017,"[('hDeltaH', 730), ('FB5U', 635), ('FB5R', 499), ('FB5S', 484)]","[('ExR5', 125), ('FB5B', 87), ('vDeltaM', 65), ('PFR_a', 57)]"
FB5T,,fru_low,cb_intrinsic,1395,434,"[('hDeltaH', 223), ('FB5U', 193), ('FB5R', 160), ('FB5S', 141)]","[('ExR5', 96), ('vDeltaM', 38), ('hDeltaB', 22), ('vDeltaK', 21)]"
FB5V_a,,fru_high,cb_intrinsic,5971,1242,"[('hDeltaA', 1192), ('FB4Z_a', 1053), ('FB4Y', 756), ('hDeltaK', 645)]","[('ExR5', 199), ('FB4Z_a', 148), ('vDeltaM', 136), ('FB4Y', 87)]"
FB5V_b,,fru_high,cb_intrinsic,4834,1895,"[('hDeltaA', 810), ('hDeltaI', 609), ('FB4Z_a', 577), ('PFR_a', 407)]","[('FB4Z_a', 321), ('vDeltaM', 225), ('ExR5', 216), ('PFR_a', 181)]"
FB5V_c,,fru_high,cb_intrinsic,3539,804,"[('FB4Z_a', 733), ('hDeltaA', 703), ('FB4Z_c', 500), ('hDeltaK', 359)]","[('PFR_b', 133), ('FC2C', 117), ('ExR5', 113), ('FB4Y', 42)]"
FB5X,,fru_low,cb_intrinsic,9540,4213,"[('hDeltaA', 1647), ('PFL3', 1429), ('FC2A', 1179), ('FB5W_a', 827)]","[('FC2A', 1903), ('FB4O', 323), ('ExR5', 299), ('FB5X', 200)]"
FB5Z,,fru_low,cb_intrinsic,4272,1434,"[('FB5S', 1291), ('hDeltaG', 996), ('FS2', 225), ('FB5U', 188)]","[('FB6R', 283), ('FB5S', 118), ('ExR5', 75), ('FB5B', 75)]"
FB6B,,fru_low,cb_intrinsic,3592,1678,"[('FC2C', 342), ('hDeltaF', 329), ('FB6K', 243), ('hDeltaC', 206)]","[('vDeltaC', 249), ('vDeltaD', 221), ('FB6H', 145), ('hDeltaL', 120)]"
FB6W,,fru_low,cb_intrinsic,3532,2034,"[('hDeltaG', 916), ('FC2B', 787), ('FS2', 382), ('FR1', 362)]","[('FB5S', 326), ('vDeltaE', 197), ('vDeltaF', 147), ('FR2', 110)]"
FB6X,,fru_low,cb_intrinsic,2327,950,"[('hDeltaL', 324), ('FB6J', 322), ('hDeltaG', 318), ('FB5S', 270)]","[('FB6R', 176), ('FB5S', 75), ('FB6L', 47), ('FB6J', 40)]"
