pre,post,male_syn,female_syn,male_share,female_share,log2_ratio,pre_dimorphic,post_dimorphic
PEN_a(PEN1),ER4m,700,309,0.025,0.0192,0.38,False,False
TuBu09,ExR1,685,370,0.0125,0.0096,0.38,False,False
EPGt,Delta7,594,412,0.0115,0.0088,0.38,False,False
ER3d_a,ER3d_d,576,319,0.0383,0.0293,0.38,False,False
FC1E,FB2B_b,502,594,0.0784,0.1016,-0.38,True,False
LAL203,LNO2,458,205,0.0238,0.0182,0.38,False,False
FR2,CRE051,386,377,0.0618,0.0805,-0.38,False,False
ExR7,ExR6,316,147,0.0152,0.0117,0.38,False,False
PFR_a,vDeltaM,303,328,0.0221,0.0287,-0.38,False,False
FB5A,FB5H,283,337,0.034,0.0442,-0.38,False,False
hDeltaC,PFGs,215,321,0.0065,0.0085,-0.38,False,False
Delta7,PFNp_c,1721,2435,0.094,0.1215,-0.37,False,False
PFL2,LAL076,1346,1753,0.229,0.2958,-0.37,False,False
ExR7,FB4Y,1252,874,0.0532,0.0411,0.37,False,False
FB8F_b,FB7A,1198,696,0.16,0.1241,0.37,False,False
PFNm_a,FC2C,749,836,0.0158,0.0203,-0.37,False,False
PFNp_c,PFNp_a,719,772,0.0542,0.0698,-0.37,False,False
ER3w_a,EL,702,562,0.0094,0.0073,0.37,False,False
FB2A,FB2B_a,509,550,0.0532,0.069,-0.37,False,False
FC2B,FB5Q,504,527,0.0742,0.0956,-0.37,False,False
hDeltaJ,vDeltaF,496,398,0.0335,0.0433,-0.37,True,False
FB6K,hDeltaC,492,433,0.0111,0.0144,-0.37,False,False
CRE107,FB5H,419,495,0.0503,0.065,-0.37,False,False
FB4G,vDeltaK,394,311,0.0238,0.0184,0.37,False,False
FB6D,hDeltaL,370,229,0.0101,0.0078,0.37,False,True
FB2E,FB2E,367,543,0.0989,0.1283,-0.37,True,True
FB2H_b,FC1E,336,269,0.0355,0.0275,0.37,False,True
LPsP,PFR_b,331,483,0.0128,0.0166,-0.37,False,False
ER6,ExR7,195,377,0.0284,0.0367,-0.37,False,False
ER2_c,ER4d,2601,1723,0.0456,0.0355,0.36,False,False
FB6C_b,hDeltaL,2367,1478,0.0644,0.05,0.36,False,True
FB4Y,vDeltaK,1376,1803,0.0832,0.1068,-0.36,False,False
FB4N,hDeltaJ,973,538,0.0256,0.0199,0.36,False,True
FC1A,FB2D,966,1142,0.0516,0.0665,-0.36,True,False
PFL3,LAL076,823,646,0.14,0.109,0.36,False,False
FS4C,SMP167,618,366,0.1693,0.1322,0.36,False,False
vDeltaC,FB6H,611,723,0.0849,0.1088,-0.36,False,False
FB4P_a,PFR_a,606,744,0.0143,0.0183,-0.36,True,False
FB1J,vDeltaA_b,562,554,0.0952,0.074,0.36,False,False
FB5O,FC2B,545,621,0.0129,0.01,0.36,True,False
FB5O,hDeltaG,481,501,0.0166,0.0213,-0.36,True,False
hDeltaE,vDeltaC,429,373,0.0297,0.023,0.36,False,False
CRE059,FB4M,415,213,0.0207,0.0161,0.36,False,False
FB7C,FC2C,368,410,0.0077,0.01,-0.36,False,False
PFR_a,FB4Q_a,324,527,0.1244,0.1602,-0.36,False,True
FB6T,FB6G,280,311,0.0827,0.1059,-0.36,False,False
FB4X,FR2,222,502,0.0414,0.0533,-0.36,False,False
ER3w_b,ER3w_b,10441,3997,0.523,0.4108,0.35,False,False
FR1,FR1,8694,7577,0.3025,0.237,0.35,False,False
ER2_a,EL,2069,1683,0.0277,0.0217,0.35,False,False
EPG,PFL3,1182,1569,0.0194,0.0248,-0.35,False,False
FB2G_a,FC2B,683,783,0.0161,0.0126,0.35,False,False
hDeltaG,FR1,657,932,0.0229,0.0291,-0.35,False,False
EPG,PFL1,538,778,0.0336,0.0428,-0.35,False,False
hDeltaC,FB6P,504,529,0.1868,0.147,0.35,False,False
vDeltaJ,hDeltaA,454,281,0.009,0.0071,0.35,False,True
PFNp_a,PFNp_d,430,323,0.0955,0.0752,0.35,False,False
EPG,P6-8P9,391,704,0.2583,0.3291,-0.35,False,False
FC2C,LAL022,380,271,0.0349,0.0273,0.35,False,False
LAL051,LCNOpm,306,122,0.0174,0.0136,0.35,False,False
FB4N,FR2,149,335,0.0278,0.0356,-0.35,False,False
ER3p_a,ER3p_a,7239,3965,0.4954,0.3915,0.34,False,False
PFNp_b,PFNp_b,3968,2434,0.1527,0.1207,0.34,False,False
FB7H,vDeltaC,1173,1039,0.0811,0.0642,0.34,False,False
PFNp_b,PFNp_a,1124,739,0.0847,0.0668,0.34,False,False
FB4I,hDeltaA,1082,673,0.0215,0.0169,0.34,False,True
EPG,ER1_b,1003,895,0.0881,0.1114,-0.34,False,False
ER1_b,ER1_b,833,744,0.0732,0.0926,-0.34,False,False
FB6V,hDeltaL,695,442,0.0189,0.015,0.34,False,True
ER3a_b,ExR1,621,345,0.0113,0.0089,0.34,False,False
FB5I,vDeltaE,583,969,0.04,0.0505,-0.34,False,False
FC2C,FB5Q,582,373,0.0857,0.0677,0.34,False,False
PFL3,LCNOp,561,406,0.0848,0.0668,0.34,False,False
FB4Y,vDeltaL,526,621,0.0426,0.0541,-0.34,False,False
LAL184,ExR2,489,295,0.0442,0.0348,0.34,False,False
ER3p_b,ER3d_b,460,242,0.0184,0.0232,-0.34,False,False
ExR1,ExR7,394,466,0.0574,0.0454,0.34,False,False
PFNv,hDeltaJ,387,217,0.0102,0.008,0.34,False,True
FC2C,FB4C,381,445,0.0321,0.0405,-0.34,False,False
FB6F,hDeltaL,2764,1770,0.0752,0.0599,0.33,False,True
PFL1,LAL087,2252,929,0.5928,0.4713,0.33,False,False
ER1_b,EL,1655,2163,0.0221,0.0279,-0.33,False,False
ER2_d,ER2_a,1328,978,0.0666,0.0836,-0.33,False,False
PFR_b,PFGs,1310,1194,0.0398,0.0317,0.33,False,False
ER2_d,ER2_c,1150,766,0.0318,0.0252,0.33,False,False
FB2B_b,PFL1,1123,1607,0.0702,0.0884,-0.33,False,False
hDeltaD,vDeltaB,1092,1233,0.1105,0.088,0.33,False,False
FB5X,PFL2,629,823,0.0197,0.0247,-0.33,True,False
FB2F_a,FC1E,571,470,0.0603,0.0481,0.33,True,True
IbSpsP,PFNp_e,535,634,0.0745,0.0936,-0.33,False,False
hDeltaB,FB4J,462,439,0.1717,0.1363,0.33,True,False
FB7J,hDeltaD,454,312,0.0214,0.0169,0.33,False,False
FB5O,PFR_b,371,525,0.0143,0.018,-0.33,True,False
PFR_a,FB4K,359,386,0.045,0.0567,-0.33,False,False
FB6X,FB6J,322,534,0.0649,0.0514,0.33,True,False
FB5H,PFL3,242,318,0.004,0.005,-0.33,False,False
FB2I_a,PFL3,230,302,0.0038,0.0048,-0.33,False,False
vDeltaL,FB4P_a,216,332,0.0257,0.0322,-0.33,False,True
ExR4,PEN_b(PEN2),5030,3398,0.1167,0.0932,0.32,False,False
FB8H,hDeltaD,1859,1292,0.0874,0.0702,0.32,False,False
ExR7,ExR5,1703,1239,0.1376,0.1101,0.32,False,False
PFNp_e,PFNp_c,1586,1390,0.0867,0.0693,0.32,False,False
TuBu02,ER3m,963,580,0.0426,0.0342,0.32,False,False
FB1G,FB3C,909,722,0.0997,0.1242,-0.32,False,False
hDeltaF,vDeltaD,797,599,0.0552,0.0443,0.32,False,False
PFNa,FB2A,782,741,0.0781,0.0978,-0.32,False,False
TuBu05,ER3p_a,764,424,0.0523,0.0419,0.32,False,False
FB5F,PFL3,609,791,0.01,0.0125,-0.32,False,False
hDeltaD,FS4B,579,769,0.113,0.0906,0.32,False,False
vDeltaA_a,FB8E,544,664,0.2031,0.2534,-0.32,False,False
hDeltaM,hDeltaH,516,571,0.0177,0.0221,-0.32,True,False
FB8F_b,FB7K,472,338,0.1433,0.1149,0.32,False,False
vDeltaA_b,vDeltaA_b,388,395,0.0657,0.0527,0.32,False,False
CRE042,FB5K,321,616,0.0684,0.0851,-0.32,False,False
PFR_a,vDeltaL,315,365,0.0255,0.0318,-0.32,False,False
FC2A,FB5X,1903,1503,0.2033,0.1641,0.31,False,True
FB2F_a,FB2B_a,1891,1271,0.1977,0.1594,0.31,True,False
ER3d_c,ER3d_d,1732,1557,0.1151,0.143,-0.31,False,False
Delta7,PFNp_a,1635,1686,0.1232,0.1525,-0.31,False,False
FB8B,ExR1,1220,695,0.0223,0.018,0.31,False,False
ER3a_b,ER3a_b,1062,390,0.1872,0.1511,0.31,False,False
vDeltaG,hDeltaM,954,926,0.0377,0.0469,-0.31,False,True
ExR4,ExR8,762,1064,0.1335,0.1656,-0.31,False,False
ExR5,FB2B_b,695,513,0.1085,0.0878,0.31,False,False
FB6G,vDeltaD,689,521,0.0477,0.0385,0.31,False,False
FB1D,vDeltaA_b,689,1082,0.1167,0.1444,-0.31,False,False
PFL2,FB5A,614,597,0.0253,0.0313,-0.31,False,False
FB4G,hDeltaI,591,596,0.016,0.0198,-0.31,False,True
SA1_b,vDeltaA_a,524,676,0.0339,0.0421,-0.31,False,False
PFNp_e,PFNp_e,522,398,0.0727,0.0588,0.31,False,False
FB1G,PFR_b,498,696,0.0192,0.0239,-0.31,False,False
vDeltaK,FB4Y,443,496,0.0188,0.0233,-0.31,False,False
PFL2,PS010,424,249,0.0332,0.0411,-0.31,False,False
LNO1,FB3A,413,233,0.0354,0.0285,0.31,False,False
ER6,ExR1,348,198,0.0064,0.0051,0.31,False,False
hDeltaG,FB6J,326,846,0.0657,0.0814,-0.31,False,False
vDeltaA_b,FB8E,323,391,0.1206,0.1492,-0.31,False,False
FB4O,FB5X,323,254,0.0345,0.0277,0.31,True,True
ER3d_d,EL,264,342,0.0035,0.0044,-0.31,False,False
vDeltaA_a,vDeltaA_b,220,346,0.0373,0.0462,-0.31,False,False
PEN_b(PEN2),PEN_b(PEN2),6224,4270,0.1444,0.1172,0.3,False,False
Delta7,PFL1,4732,6634,0.2958,0.365,-0.3,False,False
ER2_a,ER2_a,4121,1963,0.2067,0.1679,0.3,False,False
FC2C,FB5A,2889,1843,0.1189,0.0966,0.3,False,False
PEN_b(PEN2),ER4m,1897,885,0.0677,0.0549,0.3,False,False
FB5S,hDeltaG,1827,1209,0.063,0.0513,0.3,False,False
FB2F_a,hDeltaC,1493,825,0.0338,0.0274,0.3,True,False
ExR2,ER4d,964,1015,0.0169,0.0209,-0.3,False,False
PFNm_b,vDeltaB,910,1045,0.092,0.0746,0.3,False,False
PFNp_a,PFNp_b,896,563,0.0345,0.0279,0.3,False,False
PFGs,FB6D,855,1013,0.138,0.1695,-0.3,False,False
FB7G,FC2C,776,825,0.0163,0.0201,-0.3,False,False
ER3a_c,ER3a_c,702,649,0.1629,0.2002,-0.3,False,False
ExR1,ER3d_a,579,641,0.054,0.0439,0.3,False,False
FB5M,PFL3,446,574,0.0073,0.0091,-0.3,False,False
FB8B,FB7L,331,301,0.0413,0.0508,-0.3,False,False
CRE024,FB1H,225,356,0.0174,0.0215,-0.3,False,True
PFNv,PFNv,9048,7125,0.4375,0.3568,0.29,False,False
PFNd,PFNd,8109,6133,0.1663,0.1358,0.29,False,False
LCNOp,PFNp_a,3115,2122,0.2347,0.1919,0.29,False,False
ER3d_b,ER3d_d,3023,1793,0.2009,0.1647,0.29,False,False
hDeltaB,vDeltaL,2094,2383,0.1697,0.2075,-0.29,True,False
FB4Q_a,hDeltaA,1443,1394,0.0287,0.0351,-0.29,True,True
FC2A,FB5A,960,616,0.0395,0.0323,0.29,False,False
FB6C_b,FC2C,935,661,0.0197,0.0161,0.29,False,False
FB6R,FC2C,699,494,0.0147,0.012,0.29,False,False
vDeltaE,FB6N,570,625,0.1911,0.1563,0.29,False,False
PFNa,FB2I_a,518,462,0.0456,0.0373,0.29,False,False
FB6C_b,OA-VPM3,443,390,0.023,0.028,-0.29,False,False
FB8F_b,hDeltaD,415,441,0.0195,0.024,-0.29,False,False
FB5AA,FS2,374,275,0.013,0.0106,0.29,False,False
FB6T,FB6E,333,468,0.0853,0.1045,-0.29,False,False
hDeltaI,FB5E,317,293,0.078,0.0638,0.29,True,True
FC1E,FB2K,304,274,0.0403,0.0493,-0.29,True,False
FB4F_a,vDeltaL,272,310,0.022,0.027,-0.29,False,False
ER4d,EL,3917,4916,0.0524,0.0634,-0.28,False,False
ExR6,EL,3750,4732,0.0501,0.0611,-0.28,False,False
ER3m,ExR1,3255,2789,0.0594,0.0721,-0.28,False,False
hDeltaB,FB4N,2331,2646,0.1899,0.2301,-0.28,True,False
FB4F_a,hDeltaA,1604,1533,0.0319,0.0386,-0.28,False,True
PFNd,hDeltaA,1587,1521,0.0315,0.0383,-0.28,False,True
FC1D,PFL1,1349,1260,0.0843,0.0693,0.28,True,False
hDeltaE,FB7J,993,1074,0.1671,0.1381,0.28,False,False
FB6I,hDeltaL,959,636,0.0261,0.0215,0.28,False,True
PFL1,WED082,845,156,0.2078,0.2524,-0.28,False,False
PFNa,FC1E,790,992,0.0835,0.1016,-0.28,False,True
ER1_b,ER1_a,703,734,0.0735,0.0893,-0.28,False,False
FB5J,hDeltaJ,672,581,0.0177,0.0215,-0.28,False,True
TuBu03,ER3d_c,590,777,0.0451,0.0547,-0.28,False,False
hDeltaE,hDeltaF,537,278,0.015,0.0123,0.28,False,False
FB2D,hDeltaI,489,327,0.0132,0.0109,0.28,False,True
FB5X,hDeltaM,480,455,0.019,0.023,-0.28,True,True
PFL2,LAL014,464,316,0.0262,0.0318,-0.28,False,False
vDeltaK,FB4G,443,640,0.0739,0.0897,-0.28,False,False
FC1E,FR2,336,487,0.0627,0.0517,0.28,True,False
hDeltaE,FS4A,326,392,0.0231,0.0282,-0.28,False,False
FB6Z,hDeltaF,313,162,0.0087,0.0072,0.28,False,False
FB2B_b,FC1A,280,314,0.0257,0.0311,-0.28,False,True
hDeltaB,vDeltaK,246,305,0.0149,0.0181,-0.28,True,False
hDeltaB,hDeltaK,4672,3958,0.1744,0.1448,0.27,True,False
vDeltaM,vDeltaK,3058,2594,0.1849,0.1537,0.27,False,False
ER3a_a,ExR1,3053,1790,0.0557,0.0463,0.27,False,False
hDeltaC,FC2B,2414,4262,0.057,0.0688,-0.27,False,False
PFNp_c,PFNm_a,1744,1873,0.1548,0.128,0.27,False,False
FB5AB,vDeltaE,1103,1203,0.0756,0.0627,0.27,False,False
FB2K,FB2G_b,1099,551,0.1717,0.1424,0.27,False,False
ER1_a,PEN_a(PEN1),1073,989,0.0248,0.03,-0.27,False,False
TuBu04,ER3d_b,972,336,0.0388,0.0322,0.27,False,False
FB6K,hDeltaL,955,928,0.026,0.0314,-0.27,False,True
FC1E,PFL1,849,798,0.0531,0.0439,0.27,True,False
IbSpsP,PFNm_a,841,1320,0.0746,0.0902,-0.27,False,False
FB6V,hDeltaG,666,653,0.023,0.0277,-0.27,False,False
FB4X,PFR_a,635,501,0.0149,0.0123,0.27,False,False
ER2_d,ER2_b,567,844,0.1046,0.1259,-0.27,False,False
FB2E,FB2D,527,584,0.0282,0.034,-0.27,True,False
FB6D,FC2C,527,377,0.0111,0.0092,0.27,False,False
TuBu03,ER3d_a,485,548,0.0452,0.0375,0.27,False,False
FB4X,FC2A,435,595,0.0135,0.0163,-0.27,False,False
FB1E_a,vDeltaD,434,336,0.0301,0.0248,0.27,False,False
FB2K,hDeltaM,425,400,0.0168,0.0202,-0.27,False,True
FB8G,FS4A,406,332,0.0288,0.0239,0.27,False,False
LAL052,LCNOpm,395,167,0.0225,0.0187,0.27,False,False
OA-VPM3,hDeltaH,361,385,0.0124,0.0149,-0.27,False,False
FB7K,FB1I,359,291,0.1063,0.0883,0.27,False,False
FB6C_a,FC2C,342,244,0.0072,0.0059,0.27,False,False
ExR1,EPG,6272,4309,0.0305,0.0255,0.26,False,False
ExR5,EPG,6057,4149,0.0295,0.0245,0.26,False,False
ER1_b,EPG,5634,5573,0.0274,0.0329,-0.26,False,False
PEG,ER6,4431,2113,0.354,0.4235,-0.26,False,False
ER2_d,EPG,3295,3249,0.016,0.0192,-0.26,False,False
PEN_b(PEN2),PEN_a(PEN1),3067,1951,0.0708,0.0591,0.26,False,False
FB6I,hDeltaF,2368,1250,0.0659,0.0552,0.26,False,False
hDeltaB,hDeltaA,2216,1461,0.044,0.0368,0.26,True,True
ER4d,ExR5,1941,2108,0.1568,0.1873,-0.26,False,False
PFNp_a,PFNp_e,1134,891,0.1579,0.1316,0.26,False,False
FB2B_a,FC1A,945,732,0.0867,0.0726,0.26,False,True
FB7A,FB7A,924,829,0.1234,0.1479,-0.26,False,False
FB2F_a,vDeltaG,913,592,0.0681,0.0569,0.26,True,False
ER4d,PEN_b(PEN2),775,786,0.018,0.0216,-0.26,False,False
FS4A,FS4A,706,584,0.0501,0.042,0.26,False,False
ER2_b,EL,518,646,0.0069,0.0083,-0.26,False,False
EPG,ER2_d,511,404,0.0666,0.0555,0.26,False,False
PFNm_b,FB1C,420,233,0.0316,0.0264,0.26,False,False
ExR1,ExR1,386,227,0.007,0.0059,0.26,False,False
FB4R,FB4R,370,264,0.0548,0.0654,-0.26,True,True
ER3m,EL,326,280,0.0044,0.0036,0.26,False,False
FB4P_a,PFL3,279,349,0.0046,0.0055,-0.26,True,False
ExR5,vDeltaK,257,315,0.0155,0.0187,-0.26,False,False
vDeltaA_a,vDeltaA_a,3266,4029,0.2112,0.2511,-0.25,False,False
FC2C,PFL3,2700,2366,0.0444,0.0374,0.25,False,False
FC1D,FB2D,2019,1559,0.1079,0.0908,0.25,True,False
ER3d_a,ER3d_c,2012,2595,0.1538,0.1827,-0.25,False,False
IbSpsP,PFNp_b,1917,1773,0.0738,0.0879,-0.25,False,False
hDeltaB,FB4C,1806,1990,0.1521,0.1812,-0.25,True,False
hDeltaG,FC2B,1711,2979,0.0404,0.0481,-0.25,False,False
PFNm_a,PFNm_b,1644,1199,0.1308,0.1555,-0.25,False,False
FB6E,hDeltaC,1602,1300,0.0362,0.0432,-0.25,False,False
PFNa,hDeltaC,1303,1057,0.0295,0.0351,-0.25,False,False
FB8E,hDeltaD,1256,1291,0.0591,0.0701,-0.25,False,False
FB2F_b,FC2B,1135,1972,0.0268,0.0318,-0.25,True,False
Delta7,EPGt,1067,1054,0.3591,0.4276,-0.25,False,False
FB6F,FC2C,1023,1052,0.0215,0.0256,-0.25,False,False
hDeltaC,FB6E,994,959,0.2546,0.2142,0.25,False,False
FB3A,hDeltaB,883,641,0.0188,0.0158,0.25,False,True
FB5J,hDeltaC,881,504,0.0199,0.0167,0.25,False,False
PFNm_a,PFNp_c,834,1089,0.0456,0.0543,-0.25,False,False
FB8B,hDeltaD,547,399,0.0257,0.0217,0.25,False,False
FB6C_b,FB6C_b,518,364,0.0625,0.0741,-0.25,False,False
FB8E,hDeltaE,485,408,0.016,0.019,-0.25,False,False
FB2I_b,FB2F_a,458,472,0.0679,0.0807,-0.25,False,True
LPsP,PFNp_a,410,406,0.0309,0.0367,-0.25,False,False
FR1,SMP457,350,264,0.0579,0.0691,-0.25,False,False
FB2F_c,vDeltaE,298,468,0.0204,0.0244,-0.25,True,False
hDeltaE,FS2,298,319,0.0103,0.0123,-0.25,False,False
PFNa,PFNa,14566,11374,0.3746,0.318,0.24,False,False
EPG,EPG,11486,7980,0.0559,0.0471,0.24,False,False
LNO2,PFNd,9610,7555,0.1971,0.1672,0.24,False,False
FC2B,PFL3,2478,3041,0.0407,0.0481,-0.24,False,False
FB2D,FC1D,1994,1998,0.1738,0.2057,-0.24,False,True
FB5X,PFL3,1429,1755,0.0235,0.0278,-0.24,True,False
ExR3,EL,1409,1731,0.0188,0.0223,-0.24,False,False
hDeltaA,PFR_b,1034,1380,0.04,0.0473,-0.24,True,False
hDeltaB,hDeltaB,882,905,0.0188,0.0223,-0.24,True,True
ER2_d,EL,758,928,0.0101,0.012,-0.24,False,False
ExR3,ExR1,733,611,0.0134,0.0158,-0.24,False,False
FC1A,PFL1,672,901,0.042,0.0496,-0.24,True,False
FB8G,hDeltaD,613,448,0.0288,0.0243,0.24,False,False
FB8H,FS4A,555,647,0.0394,0.0465,-0.24,False,False
MBON09,FB4R,492,347,0.0728,0.086,-0.24,True,True
FB7C,hDeltaF,468,249,0.013,0.011,0.24,False,False
FC2A,hDeltaM,452,418,0.0179,0.0212,-0.24,False,True
vDeltaA_a,SAF,426,459,0.1678,0.1979,-0.24,False,False
ExR7,EL,422,519,0.0056,0.0067,-0.24,False,False
FB9B_d,vDeltaA_a,408,358,0.0264,0.0223,0.24,False,False
ExR8,PS261,406,57,0.0692,0.0819,-0.24,False,False
hDeltaJ,FB5J,403,506,0.1451,0.171,-0.24,True,False
FB2K,PFL3,385,339,0.0063,0.0054,0.24,False,False
vDeltaD,FB7I,373,292,0.0486,0.0411,0.24,False,False
PFNv,FB3C,334,251,0.0366,0.0432,-0.24,False,False
hDeltaE,FS3,51,1727,0.0725,0.0614,0.24,False,False
ER4m,EPG,21202,14903,0.1032,0.0881,0.23,False,False
ER5,ExR1,10044,8301,0.1833,0.2146,-0.23,False,False
EPG,ER4m,4487,2204,0.1602,0.1367,0.23,False,False
FB5A,FC2B,2887,3612,0.0681,0.0583,0.23,False,False
PFNp_b,PFNp_c,2218,2073,0.1212,0.1034,0.23,False,False
PFNa,FC1D,2057,2039,0.1792,0.2099,-0.23,False,True
hDeltaI,PFL2,1942,1730,0.0608,0.0519,0.23,True,False
FB5A,hDeltaM,1611,1479,0.0637,0.0748,-0.23,False,True
FC1A,FB2B_a,1359,967,0.1421,0.1213,0.23,True,False
ExR1,ER3d_b,1231,436,0.0491,0.0418,0.23,False,False
FC2B,PFL2,1230,1507,0.0385,0.0452,-0.23,False,False
ER4m,ER2_b,1076,1555,0.1985,0.232,-0.23,False,False
FB5A,FS2,983,1039,0.0341,0.04,-0.23,False,False
FB1D,FB1D,638,559,0.1658,0.1947,-0.23,False,False
PFNp_c,hDeltaC,570,455,0.0129,0.0151,-0.23,False,False
ExR1,ER3a_a,566,382,0.0378,0.0444,-0.23,False,False
LPsP,PFNp_b,513,467,0.0197,0.0232,-0.23,False,False
PFNd,FB4B,491,423,0.048,0.0564,-0.23,False,False
FB1E_a,hDeltaF,474,255,0.0132,0.0113,0.23,False,False
hDeltaC,FB6G,445,330,0.1314,0.1123,0.23,False,False
FC2C,AOTU042,394,126,0.0094,0.008,0.23,False,True
FB5I,FC2B,394,678,0.0093,0.0109,-0.23,False,False
hDeltaC,FB5J,364,331,0.131,0.1119,0.23,False,False
hDeltaA,FS2,345,265,0.012,0.0102,0.23,True,False
vDeltaK,vDeltaK,305,366,0.0184,0.0217,-0.23,False,False
PFR_a,PFL3,296,363,0.0049,0.0057,-0.23,False,False
hDeltaG,FB6K,291,346,0.0534,0.0625,-0.23,False,False
PFNd,FB1H,274,300,0.0212,0.0181,0.23,False,True
PFL1,LAL047,4086,1645,0.4359,0.5074,-0.22,False,False
PFNd,FB3A,4020,3283,0.3448,0.4012,-0.22,False,False
PFNp_c,PFNp_c,2822,3603,0.1542,0.1797,-0.22,False,False
ExR7,ExR4,1947,1363,0.0949,0.1106,-0.22,False,False
FB7L,hDeltaF,1721,931,0.0479,0.0411,0.22,False,False
PFNp_c,hDeltaJ,1705,1045,0.0449,0.0386,0.22,False,True
hDeltaC,vDeltaE,1604,1809,0.11,0.0942,0.22,False,False
FB7K,hDeltaE,1585,959,0.0522,0.0447,0.22,False,False
hDeltaM,PFL2,1555,1397,0.0487,0.0419,0.22,True,False
ER3a_b,EL,1148,1022,0.0154,0.0132,0.22,False,False
FB1G,hDeltaJ,1122,686,0.0295,0.0253,0.22,False,True
ExR1,ER3d_d,994,618,0.0661,0.0568,0.22,False,False
FB3C,FB4N,951,766,0.0775,0.0666,0.22,False,False
FC1F,FB2B_a,936,906,0.0978,0.1136,-0.22,True,False
PFNp_b,FC2B,838,1053,0.0198,0.017,0.22,False,False
PFR_b,hDeltaG,795,555,0.0274,0.0235,0.22,False,False
FC1D,FB2B_b,743,581,0.116,0.0994,0.22,True,False
FB1E_a,vDeltaC,628,602,0.0434,0.0372,0.22,False,False
FC2C,FC2C,607,450,0.0128,0.0109,0.22,False,False
ExR5,PFR_a,591,483,0.0139,0.0119,0.22,False,False
PFL3,LAL101,497,347,0.1029,0.1199,-0.22,False,False
FB2I_a,FS4B,488,942,0.0953,0.111,-0.22,False,False
FB8G,hDeltaL,478,329,0.013,0.0111,0.22,False,True
PFNd,LNO1,428,291,0.0391,0.0456,-0.22,False,False
FB4K,vDeltaK,424,370,0.0256,0.0219,0.22,False,False
PLP231,IbSpsP,404,306,0.0239,0.0205,0.22,False,False
FB8H,hDeltaE,391,321,0.0129,0.015,-0.22,False,False
FB6M,SIP064,372,251,0.0834,0.0716,0.22,False,False
hDeltaC,FB6V,371,387,0.0763,0.0888,-0.22,False,False
FB2G_a,hDeltaJ,355,296,0.0093,0.0109,-0.22,False,True
FB2H_b,FC1D,334,242,0.0291,0.0249,0.22,False,True
PFNp_b,vDeltaE,303,465,0.0208,0.0242,-0.22,False,False
hDeltaC,FB5B,285,314,0.0566,0.066,-0.22,False,False
hDeltaJ,FC2B,2573,3253,0.0607,0.0525,0.21,True,False
PFL3,LAL083,1301,617,0.0403,0.0466,-0.21,False,False
PFNp_a,vDeltaK,1253,1107,0.0757,0.0656,0.21,False,False
hDeltaH,FB5S,872,956,0.102,0.1179,-0.21,False,False
hDeltaH,FS2,786,611,0.0272,0.0235,0.21,False,False
PFNv,PFNa,749,795,0.0193,0.0222,-0.21,False,False
FB9A,hDeltaD,596,445,0.028,0.0242,0.21,False,False
FB7J,hDeltaF,578,423,0.0161,0.0187,-0.21,False,False
FB6D,OA-VPM3,515,429,0.0267,0.0308,-0.21,False,False
FC1B,FC1D,491,359,0.0428,0.037,0.21,True,True
FB5E,FR1,488,628,0.017,0.0196,-0.21,True,False
FB5B,PFGs,487,482,0.0148,0.0128,0.21,False,False
vDeltaD,FS2,431,448,0.0149,0.0172,-0.21,False,False
FB5F,hDeltaM,425,385,0.0168,0.0195,-0.21,False,True
EPGt,PEG,341,366,0.0163,0.0189,-0.21,False,False
vDeltaG,FB5H,341,360,0.041,0.0472,-0.21,False,False
FB5M,PFL2,273,330,0.0085,0.0099,-0.21,False,False
FB1G,vDeltaE,224,341,0.0154,0.0178,-0.21,False,False
FS4B,FS4B,182,348,0.0355,0.041,-0.21,False,False
LNOa,PFNa,8698,6942,0.2237,0.1941,0.2,False,False
FB7A,hDeltaE,3720,2284,0.1224,0.1065,0.2,False,False
hDeltaL,FC2C,3187,3175,0.0671,0.0772,-0.2,True,False
hDeltaH,FC2B,2437,3102,0.0575,0.0501,0.2,False,False
FB7I,hDeltaL,2130,1489,0.0579,0.0504,0.2,False,True
EL,EL,1493,1345,0.02,0.0174,0.2,False,False
FB6P,hDeltaC,1399,827,0.0316,0.0275,0.2,False,False
FB1E_a,FC2C,1066,804,0.0224,0.0196,0.2,False,False
hDeltaB,FS4A,849,729,0.0602,0.0524,0.2,True,False
PFL3,FB5A,806,552,0.0332,0.0289,0.2,False,False
hDeltaD,FB8B,805,618,0.182,0.1585,0.2,False,False
FR1,CRE105,778,676,0.2316,0.2012,0.2,False,False
ExR1,ER3d_c,748,708,0.0572,0.0499,0.2,False,False
PFNp_b,PFNp_e,728,597,0.1014,0.0882,0.2,False,False
FB6C_a,hDeltaL,697,486,0.019,0.0165,0.2,False,True
PFNp_c,PFNp_e,527,569,0.0734,0.084,-0.2,False,False
vDeltaD,FB6U,488,547,0.0681,0.0782,-0.2,False,False
vDeltaA_b,FB8G,450,413,0.0759,0.066,0.2,False,False
PFR_a,FB4R,421,289,0.0623,0.0716,-0.2,False,True
FB2F_c,FC2C,414,311,0.0087,0.0076,0.2,True,False
FB1G,FR1,391,500,0.0136,0.0156,-0.2,False,False
PLP078,LNO2,363,184,0.0188,0.0164,0.2,False,False
ER3d_a,EL,314,376,0.0042,0.0049,-0.2,False,False
