pre,post,male_syn,female_syn,male_share,female_share,log2_ratio,pre_dimorphic,post_dimorphic
vDeltaB,hDeltaE,3102,2945,0.1021,0.1373,-0.43,False,False
EPG,ER2_c,2701,1684,0.0746,0.0554,0.43,False,False
PFNa,LNOa,2642,2092,0.5153,0.6941,-0.43,False,False
PEN_b(PEN2),hDeltaK,1462,1103,0.0546,0.0404,0.43,False,False
EPG,ER2_a,1357,589,0.0681,0.0504,0.43,False,False
FB5AB,FC2B,1083,1176,0.0256,0.019,0.43,False,False
FB4H,vDeltaJ,990,719,0.1865,0.1386,0.43,False,False
FB5P,hDeltaH,730,479,0.025,0.0186,0.43,True,False
FB5D,hDeltaH,704,462,0.0241,0.0179,0.43,True,False
FC1B,FB2D,677,838,0.0362,0.0488,-0.43,True,False
ER2_d,ER2_d,674,858,0.0878,0.118,-0.43,False,False
FB3C,PFR_b,666,555,0.0257,0.019,0.43,False,False
FC1B,hDeltaC,665,609,0.015,0.0202,-0.43,True,False
PFL2,PFL2,606,468,0.019,0.014,0.43,False,False
PFNd,FB4L,570,401,0.0594,0.0802,-0.43,False,True
FB2D,hDeltaC,562,517,0.0127,0.0172,-0.43,False,False
FB2G_b,FC2B,511,552,0.0121,0.0089,0.43,False,False
FB1A,vDeltaD,354,447,0.0245,0.0331,-0.43,False,False
hDeltaB,FB4F_b,339,312,0.1374,0.102,0.43,True,False
LAL184,GLNO,309,114,0.0324,0.024,0.43,False,False
FR1,FB5H,259,320,0.0311,0.042,-0.43,False,False
FC2B,LAL022,245,302,0.0225,0.0304,-0.43,False,False
FB4P_b,hDeltaA,2833,2990,0.0563,0.0752,-0.42,True,True
FB4K,hDeltaA,2754,1625,0.0547,0.0409,0.42,False,True
hDeltaC,vDeltaF,1092,505,0.0738,0.055,0.42,False,False
PFNp_a,PFL2,1081,844,0.0338,0.0253,0.42,False,False
PFNp_e,PFNp_b,921,535,0.0354,0.0265,0.42,False,False
FB4O,FB4O,823,409,0.1005,0.0753,0.42,True,True
FB4F_a,vDeltaK,616,839,0.0372,0.0497,-0.42,False,False
LAL184,ExR4,489,219,0.0238,0.0178,0.42,False,False
FB5A,FR1,470,701,0.0164,0.0219,-0.42,False,False
PFNp_c,vDeltaG,306,317,0.0228,0.0305,-0.42,False,False
TuBu07,ER3w_a,286,375,0.0298,0.0399,-0.42,False,False
FB7L,PFGs,246,379,0.0075,0.0101,-0.42,False,False
FB8B,vDeltaB,243,460,0.0246,0.0328,-0.42,False,False
ER2_a,EPG,8225,5091,0.04,0.0301,0.41,False,False
FB4R,hDeltaB,3647,2378,0.0777,0.0585,0.41,True,True
hDeltaE,FC2C,2207,2538,0.0464,0.0617,-0.41,False,False
ER3d_b,ExR1,2201,1170,0.0402,0.0302,0.41,False,False
EPG,LPsP,2088,1819,0.1665,0.2215,-0.41,False,False
PEN_a(PEN1),ExR2,1995,2030,0.1803,0.2397,-0.41,False,False
vDeltaA_b,hDeltaD,1848,2124,0.0869,0.1154,-0.41,False,False
SA3,vDeltaA_a,1447,1993,0.0936,0.1242,-0.41,False,False
FB5X,FC2A,1179,1006,0.0367,0.0276,0.41,True,False
PFR_a,FB4O,953,841,0.1164,0.1547,-0.41,False,True
ER3a_c,EL,785,1083,0.0105,0.014,-0.41,False,False
FB5L,FB5AB,777,770,0.0634,0.0845,-0.41,False,False
FB5B,FB5I,720,586,0.0961,0.0721,0.41,False,False
ER4m,ExR2,700,403,0.0633,0.0476,0.41,False,False
EPG,ExR2,633,644,0.0572,0.0761,-0.41,False,False
FB6N,FB5AB,504,499,0.0411,0.0548,-0.41,False,False
FB5P,FB5S,484,611,0.0566,0.0753,-0.41,True,False
PFNp_c,FC2A,457,691,0.0142,0.019,-0.41,False,False
PFNv,Delta7,455,548,0.0088,0.0117,-0.41,False,False
vDeltaL,FB4G,448,402,0.0747,0.0563,0.41,False,False
vDeltaC,FB7L,418,411,0.0521,0.0694,-0.41,False,False
PFNp_b,vDeltaK,394,303,0.0238,0.0179,0.41,False,False
FB4O,hDeltaA,385,228,0.0076,0.0057,0.41,True,True
hDeltaJ,FR2,374,872,0.0698,0.0926,-0.41,True,False
FB5I,vDeltaG,371,216,0.0277,0.0208,0.41,False,False
FB2F_c,FC2A,350,529,0.0109,0.0145,-0.41,True,False
ER2_a,ExR5,332,227,0.0268,0.0202,0.41,False,False
ER3d_c,ExR3,211,315,0.0141,0.0187,-0.41,False,False
ER3d_b,ER3d_b,13157,4140,0.525,0.3973,0.4,False,False
hDeltaB,PFGs,3125,2707,0.095,0.0719,0.4,True,False
EPG,ExR8,913,1353,0.16,0.2106,-0.4,False,False
hDeltaE,PFGs,640,554,0.0195,0.0147,0.4,False,False
FB2E,PFL1,590,888,0.0369,0.0489,-0.4,True,False
FB7B,hDeltaE,565,528,0.0186,0.0246,-0.4,False,False
ExR7,ExR7,555,628,0.0808,0.0611,0.4,False,False
PFNp_d,PFL3,552,434,0.0091,0.0069,0.4,False,False
hDeltaF,FS4C,328,217,0.0493,0.0374,0.4,False,False
FB4F_a,vDeltaM,302,331,0.022,0.029,-0.4,False,False
FB5I,FB5B,262,327,0.052,0.0687,-0.4,False,False
CRE005,FB4G,257,405,0.0428,0.0568,-0.4,False,False
PEN_a(PEN1),PEN_a(PEN1),5446,3177,0.1258,0.0963,0.39,False,False
FB4C,PFNd,4366,3084,0.0895,0.0683,0.39,False,False
AOTU046,ExR1,3608,1943,0.0658,0.0502,0.39,False,False
ExR5,EL,1903,1508,0.0254,0.0195,0.39,False,False
FB5L,vDeltaF,1407,1142,0.0951,0.1243,-0.39,False,False
FC2B,hDeltaM,1073,1100,0.0424,0.0557,-0.39,False,True
vDeltaB,FB8G,933,1290,0.1575,0.2062,-0.39,False,False
hDeltaM,FB5A,888,913,0.0365,0.0478,-0.39,True,False
FB1G,hDeltaC,782,697,0.0177,0.0232,-0.39,False,False
FB1G,PFR_a,699,873,0.0165,0.0215,-0.39,False,False
FB6E,hDeltaF,543,260,0.0151,0.0115,0.39,False,False
SA2_a,vDeltaA_a,424,575,0.0274,0.0358,-0.39,False,False
oviIN,FC2C,418,275,0.0088,0.0067,0.39,True,False
FB5D,PFR_a,404,293,0.0095,0.0072,0.39,True,False
FC1A,FB2K,372,360,0.0493,0.0648,-0.39,True,False
FC1B,FB2F_a,337,383,0.05,0.0655,-0.39,True,True
ER3d_c,EL,307,419,0.0041,0.0054,-0.39,False,False
FC1A,FR2,172,395,0.0321,0.0419,-0.39,True,False
ER3d_c,ER3d_c,2963,4198,0.2265,0.2956,-0.38,False,False
LNO1,LNO2,1750,1329,0.0908,0.1182,-0.38,False,False
hDeltaD,ExR1,1456,787,0.0266,0.0203,0.38,False,False
PFL3,CRE041,910,493,0.0483,0.0371,0.38,False,False
vDeltaG,FC2B,835,935,0.0197,0.0151,0.38,False,False
FB1G,hDeltaK,701,549,0.0262,0.0201,0.38,False,False
