type,n_cells,total_in,total_out
AOTU021,2,1083,2825
AOTU022,2,2472,4380
AOTU023,2,19395,16697
AOTU024,2,4649,14682
AOTU025,2,22763,15743
AOTU026,2,9689,13896
AOTU027,2,10248,11232
AOTU028,2,4505,11633
AOTU029,2,11871,10311
AOTU030,2,4929,6745
AOTU032,4,4218,9392
AOTU033,2,14220,25657
AOTU034,4,4000,11072
AOTU035,2,15653,38414
AOTU036,2,2049,8731
AOTU037,5,4441,5657
AOTU038,11,5201,9945
AOTU039,6,2745,7758
AOTU040,6,1321,6696
AOTU041,4,81032,55065
AOTU042,4,42102,92471
AOTU043,3,3225,9747
AOTU045,2,3093,13144
AOTU046,4,11749,29153
AOTU047,2,1796,8313
AOTU048,2,2611,4219
AOTU049,4,5937,7157
AOTU050,12,14353,28804
AOTU051,6,6225,8467
AOTU052,7,13050,18298
AOTU053,3,2654,3026
AOTU054,3,2687,4231
AOTU055,5,4925,7260
AOTU056,8,4823,13494
AOTU058,8,4847,8594
AOTU059,11,10615,27452
AOTU060,7,5220,10307
AOTU061,7,6817,15547
AOTU062,6,6083,14532
AOTU063_a,2,18601,19239
AOTU063_b,2,20194,19050
AOTU064,2,15043,25996
AOTU065,2,3490,9415
AOTU100m,2,8958,34562
AOTU101m,2,10708,19463
AOTU102m,2,2321,3625
AOTU103m,4,9455,28687
APL,2,243004,257366
ATL001,2,2561,18056
ATL002,2,2695,18985
ATL003,2,3026,15998
ATL004,2,1054,9120
ATL005,2,2475,6186
ATL006,2,9170,17520
ATL007,2,2649,7632
ATL008,2,5232,11341
ATL009,5,1896,8184
ATL011,2,3212,14566
ATL012,4,5349,24242
ATL013,4,597,6161
ATL014,2,4005,16424
ATL015,2,2775,14164
ATL016,2,3766,15214
ATL017,2,3298,10374
ATL018,4,5658,17504
ATL019,3,1312,3936
ATL020,4,1869,5444
ATL021,2,3336,24947
ATL022,2,6221,16072
ATL023,2,5553,17059
ATL024,2,1163,5287
ATL025,2,3237,16898
ATL026,2,5941,11551
ATL027,2,6776,13480
ATL028,2,3902,15689
ATL029,2,2745,7699
ATL030,2,10266,17617
ATL031,2,5409,7634
ATL032,2,3569,3874
ATL033,2,2817,11368
ATL034,2,2966,12066
ATL035,2,1972,6728
ATL036,2,1600,4872
ATL037,2,5734,18012
ATL038,2,2065,7668
ATL039,2,2157,8140
ATL040,2,3705,9897
ATL041,2,3271,12025
ATL042,2,3399,7949
ATL043,2,3140,5710
ATL044,2,2236,9932
ATL045,2,1878,6498
AVL006_a,2,2238,5434
AVLP001,2,90117,115324
AVLP002,5,3230,13819
AVLP003,6,3648,12209
AVLP004_a,7,6008,19006
AVLP004_b,5,4154,12003
AVLP005,8,9143,26880
AVLP009,4,3818,10638
AVLP013,6,3058,12957
AVLP014,1,396,2971
AVLP015,2,17567,18666
AVLP016,2,90146,101192
AVLP017,2,11398,24017
AVLP018,2,14702,23456
AVLP019,2,9081,21420
AVLP020,2,5916,16112
AVLP021,2,5151,23984
AVLP022,3,3938,7715
AVLP023,2,14897,23762
AVLP024_a,2,5568,12493
AVLP024_b,2,4671,12327
AVLP024_c,2,3325,16413
AVLP025,2,6991,11456
AVLP026,14,12682,26575
AVLP027,4,3305,7818
AVLP028,8,2908,14147
AVLP029,2,14017,50424
AVLP030,1,10680,17421
AVLP031,2,10847,29569
AVLP032,2,9875,20255
AVLP033,2,8550,18429
AVLP034,2,4897,11277
AVLP035,2,6223,16806
AVLP036,4,7996,33243
AVLP037,5,11097,19782
AVLP038,8,16690,27264
AVLP039,6,13797,25685
AVLP040,9,14711,35678
AVLP041,2,3246,11548
AVLP042,4,6287,20886
AVLP043,4,4868,25165
AVLP044_a,5,3966,16311
AVLP044_b,3,2564,12550
AVLP045,10,11229,30656
AVLP046,4,4998,16204
AVLP047,6,7345,17680
AVLP048,2,3730,7236
AVLP049,7,6562,15691
AVLP050,7,2860,12144
AVLP051,6,4365,12694
AVLP053,2,10329,22110
AVLP055,9,5379,15698
AVLP059,4,6751,21618
AVLP060,7,12390,28360
AVLP062,4,6698,11877
AVLP063,4,4068,11071
AVLP064,5,9280,21970
AVLP065,2,2775,10518
AVLP067,4,6621,13006
AVLP069_a,4,3206,12210
AVLP069_b,6,5704,14544
AVLP069_c,6,4574,16116
AVLP075,2,4744,11983
AVLP076,2,76762,91273
AVLP077,2,21673,35923
AVLP078,2,16637,50698
AVLP079,2,85949,107276
AVLP080,2,76766,101694
AVLP081,2,8708,31714
AVLP082,2,82608,114995
AVLP083,1,26455,41156
AVLP084,2,23106,36472
AVLP085,2,13900,42250
AVLP086,2,41799,72574
AVLP087,2,13421,36670
AVLP088,2,5584,31993
AVLP089,4,4725,17113
AVLP090,2,10218,22920
AVLP091,2,3809,11868
AVLP093,2,2462,4769
AVLP094,2,2687,5026
AVLP095,2,2229,5480
AVLP096,4,6279,14927
AVLP097,2,6375,15496
AVLP098,2,8001,11478
AVLP099,4,17215,17738
AVLP101,2,5844,9212
AVLP102,2,8768,8412
AVLP103,8,27832,34891
AVLP104,14,34922,46022
AVLP105,5,17740,12421
AVLP107,4,7804,21201
AVLP108,2,3667,9439
AVLP109,6,14227,28841
AVLP110_a,4,11940,14094
AVLP110_b,4,14647,24939
AVLP111,5,24822,27574
AVLP112,4,15980,25260
AVLP113,4,6663,14502
AVLP115,12,17025,25789
AVLP116,4,6671,15803
AVLP117,5,10604,25259
AVLP120,5,6568,25482
AVLP121,6,4426,18775
AVLP124,4,9786,11453
AVLP126,11,21471,34916
AVLP129,2,3092,5035
AVLP132,2,2662,7428
AVLP136,4,5681,11329
AVLP137,4,4899,10626
AVLP138,5,4273,8188
AVLP139,4,8788,10323
AVLP140,3,3418,8463
AVLP143,4,3800,11413
AVLP145,11,8909,19228
AVLP147,5,4356,7911
AVLP149,12,6001,11148
AVLP152,2,10991,25549
AVLP153,2,9778,28087
AVLP154,2,12540,31845
AVLP155_a,2,6493,16973
AVLP155_b,2,7180,12869
AVLP156,2,7319,20303
AVLP157,2,9015,26283
AVLP158,2,5901,13286
AVLP159,2,6126,17655
AVLP160,2,14206,23559
AVLP161,2,7163,15777
AVLP162,2,6334,16181
AVLP163,4,22430,41720
AVLP164,4,19811,31657
AVLP165,4,8174,23972
AVLP166,4,15962,14114
AVLP168,6,8124,12934
AVLP169,2,7665,22737
AVLP170,2,6673,10603
AVLP173,2,5804,7238
AVLP175,2,7106,6896
AVLP176_b,5,12942,19399
AVLP176_c,5,16301,18861
AVLP176_d,5,16489,17416
AVLP177_a,4,9176,11364
AVLP178,3,6557,8215
AVLP179,4,10872,11573
AVLP180,2,5492,5628
AVLP182,3,4760,8964
AVLP183,5,9344,12748
AVLP184,2,3804,10732
AVLP186,4,7621,9880
AVLP187,9,9758,17880
AVLP188,2,2189,4671
AVLP189_a,4,6399,7637
AVLP189_b,5,8121,10304
AVLP190,4,5171,10708
AVLP191,11,10100,29314
AVLP192_a,2,3020,6188
AVLP192_b,2,3396,6784
AVLP193,2,3263,6887
AVLP194_a,4,4673,17849
AVLP194_b1,2,1763,3805
AVLP194_b2,2,1551,3417
AVLP194_c1,2,1742,3650
AVLP194_c2,2,2008,4497
AVLP194_c3,2,2129,3310
AVLP195,4,5920,7737
AVLP197,2,4790,5242
AVLP198,5,6304,8223
AVLP199,8,2915,7143
AVLP200,2,9764,35782
AVLP201,2,14251,22010
AVLP202,2,7017,2806
AVLP203_a,2,3463,8171
AVLP203_b,2,4094,7211
AVLP203_c,2,4252,9201
AVLP204,4,11586,22387
AVLP205,3,4642,13036
AVLP209,2,23320,49306
AVLP210,2,17412,25779
AVLP211,2,8380,24068
AVLP212,2,2380,7393
AVLP213,2,11418,33043
AVLP214,2,4114,14511
AVLP215,2,38008,62824
