type_pre,type_post,total,mean_offset_deg,resultant_length,ncol_pre,ncol_post
vDeltaI_b,vDeltaH,140,26.1,0.795,9,7
hDeltaC,hDeltaJ,140,0.6,0.937,12,12
FC1A,FC3_b,139,3.3,0.785,9,9
FC2C,FS3_d,139,0.3,0.926,9,9
vDeltaL,vDeltaM,139,357.3,0.899,9,9
FS4B,FS4C,139,56.0,0.12,9,9
FC3_c,FC1E,138,359.7,0.861,9,9
FC1E,FS4C,138,0.8,0.895,9,9
hDeltaE,vDeltaB,138,196.2,0.869,8,9
FC1E,FC1A,138,2.5,0.884,9,9
FS1B_b,FS1B_b,138,299.1,0.048,9,9
FC2B,FS2,137,0.2,0.864,9,9
FC2B,FC2A,137,5.6,0.612,9,9
hDeltaH,FS1B_b,136,197.0,0.871,8,9
hDeltaI,PFR_a,136,193.5,0.902,12,9
vDeltaH,PFR_b,135,332.8,0.756,7,9
hDeltaM,hDeltaI,134,188.9,0.765,8,12
FS1A_c,FS1A_b,134,219.2,0.031,9,9
FC3_b,FC3_a,133,358.5,0.925,9,9
hDeltaC,hDeltaG,133,172.1,0.673,12,8
vDeltaI_b,FC2A,133,2.5,0.876,9,9
FS3_d,FS3_d,132,21.9,0.067,9,9
