bodyId,type,instance,class,superclass,somaSide,rootSide,status,hemibrainType,flywireType
171142,PFNp_b,PFNp_b,CX,cb_intrinsic,L,,Traced,PFNp_b,PFNp
171324,PFNp_b,PFNp_b,CX,cb_intrinsic,L,,Traced,PFNp_b,PFNp
171804,PFNp_a,PFNp_a,CX,cb_intrinsic,R,,Traced,PFNp_a,PFNp
171862,PFNp_a,PFNp_a,CX,cb_intrinsic,R,,Traced,PFNp_a,PFNp
172508,PFNp_b,PFNp_b,CX,cb_intrinsic,L,,Traced,PFNp_b,PFNp
172829,PFNp_b,PFNp_b,CX,cb_intrinsic,R,,Traced,PFNp_b,PFNp
173055,PFNm_a,PFNm_a_L6_C5,CX,cb_intrinsic,L,,Traced,PFNm_a,PFNm
173257,PFNp_d,PFNp_d,CX,cb_intrinsic,R,,Traced,PFNp_d,PFNp
173565,PFNp_a,PFNp_a,CX,cb_intrinsic,R,,Traced,PFNp_a,PFNp
173672,PFNp_b,PFNp_b,CX,cb_intrinsic,R,,Traced,PFNp_b,PFNp
173868,PFNp_a,PFNp_a,CX,cb_intrinsic,R,,Traced,PFNp_a,PFNp
174511,PFNp_e,PFNp_e,CX,cb_intrinsic,R,,Traced,PFNp_e,PFNp
174569,PFNp_b,PFNp_b,CX,cb_intrinsic,R,,Traced,PFNp_b,PFNp
174789,PFNp_b,PFNp_b,CX,cb_intrinsic,R,,Traced,PFNp_b,PFNp
175200,PFNp_a,PFNp_a,CX,cb_intrinsic,R,,Traced,PFNp_a,PFNp
175309,PFNp_b,PFNp_b,CX,cb_intrinsic,L,,Traced,PFNp_b,PFNp
175680,PFNp_b,PFNp_b,CX,cb_intrinsic,L,,Traced,PFNp_b,PFNp
175842,PFNp_a,PFNp_a,CX,cb_intrinsic,L,,Traced,PFNp_a,PFNp
176343,PFNp_b,PFNp_b,CX,cb_intrinsic,L,,Traced,PFNp_b,PFNp
176645,PFNp_d,PFNp_d,CX,cb_intrinsic,R,,Traced,PFNp_d,PFNp
177153,PFNm_b,PFNm_b_L4_C3,CX,cb_intrinsic,L,,Traced,PFNm_b,PFNm
177548,PFNp_b,PFNp_b,CX,cb_intrinsic,R,,Traced,PFNp_b,PFNp
177642,PFNp_a,PFNp_a,CX,cb_intrinsic,R,,Traced,PFNp_a,PFNp
177717,PFNp_a,PFNp_a,CX,cb_intrinsic,R,,Traced,PFNp_a,PFNp
177762,PFNm_a,PFNm_a_L3_C2,CX,cb_intrinsic,L,,Traced,PFNm_a,PFNm
177962,PFNp_b,PFNp_b,CX,cb_intrinsic,L,,Traced,PFNp_b,PFNp
178092,PFNp_b,PFNp_b,CX,cb_intrinsic,L,,Traced,PFNp_b,PFNp
178115,PFNp_b,PFNp_b,CX,cb_intrinsic,L,,Traced,PFNp_b,PFNp
178181,PFNp_b,PFNp_b,CX,cb_intrinsic,R,,Traced,PFNp_b,PFNp
178346,PFNp_b,PFNp_b,CX,cb_intrinsic,R,,Traced,PFNp_b,PFNp
178839,PFNp_a,PFNp_a,CX,cb_intrinsic,R,,Traced,PFNp_a,PFNp
179090,PFNp_d,PFNp_d,CX,cb_intrinsic,L,,Traced,PFNp_d,PFNp
179200,PFNp_b,PFNp_b,CX,cb_intrinsic,R,,Traced,PFNp_b,PFNp
179308,PFNp_d,PFNp_d,CX,cb_intrinsic,L,,Traced,PFNp_d,PFNp
179771,PFNp_b,PFNp_b,CX,cb_intrinsic,R,,Traced,PFNp_b,PFNp
180020,PFNp_b,PFNp_b,CX,cb_intrinsic,R,,Traced,PFNp_b,PFNp
180075,PFNp_b,PFNp_b,CX,cb_intrinsic,L,,Traced,PFNp_b,PFNp
180461,PFNp_b,PFNp_b,CX,cb_intrinsic,L,,Traced,PFNp_b,PFNp
181149,PFNp_a,PFNp_a,CX,cb_intrinsic,L,,Traced,PFNp_a,PFNp
181511,PFNp_a,PFNp_a,CX,cb_intrinsic,L,,Traced,PFNp_a,PFNp
181513,PFNp_a,PFNp_a,CX,cb_intrinsic,R,,Traced,PFNp_a,PFNp
181891,PFNp_b,PFNp_b,CX,cb_intrinsic,L,,Traced,PFNp_b,PFNp
