intermediate_body,intermediate_type,intermediate_superclass,pfl3_input,pfl2_input,pfl1_input,dn_body,dn_type,dn_instance,weight
519398,SMP048,cb_intrinsic,0,14,0,11657,DNpe005,DNpe005(WED123)_L,15
515681,PLP021,cb_intrinsic,46,1,0,11261,DNp54,DNp54(PS163)_L,15
512258,LAL013,cb_intrinsic,0,2,1,233071,DNg04,DNg04_L,15
11712,PLP019,cb_intrinsic,8,0,0,10283,DNp103,DNp103(PVLP119)_R,15
108478,PFL3,cb_intrinsic,39,0,1,13805,DNg97,DNg97_L,15
118264,LAL021,cb_intrinsic,21,1,0,13805,DNg97,DNg97_L,15
526857,SMP006,cb_intrinsic,1,0,0,519624,DNa03,DNa03_L,15
19715,PFL2,cb_intrinsic,2,52,0,10411,DNb09,DNb09(DNb01)_R,15
22341,PS114,cb_intrinsic,0,0,3,10379,DNa10,DNa10_R,15
22341,PS114,cb_intrinsic,0,0,3,12362,DNpe055,DNpe055(PS167)_R,15
12321,SMP456,cb_intrinsic,0,0,4,12628,DNpe042,DNpe042(CL262)_R,15
27730,AOTU002_b,cb_intrinsic,3,0,0,512006,DNg13,DNg13_R,15
209327,SMP111,cb_intrinsic,0,0,1,11505,DNp54,DNp54(PS163)_R,15
47991,CB2066,cb_intrinsic,3,1,4,521624,DNpe023,DNpe023(LAL201)_R,15
51658,PS018_a,cb_intrinsic,24,61,0,12801,DNa05,DNa05(PS028)_L,15
51658,PS018_a,cb_intrinsic,24,61,0,10971,DNa11,DNa11(VES008)_L,15
11066,DNa13,descending_neuron,0,5,0,11222,DNg111,DNg111(hb1573072464)_L,15
11066,DNa13,descending_neuron,0,5,0,10444,DNge035,DNge035_L,15
556343,LAL021,cb_intrinsic,31,1,0,10759,DNb01,DNb01_R,15
17930,PS215,cb_intrinsic,1,0,0,20414,DNp16_a,DNp16_a_L,15
514053,LAL011,cb_intrinsic,6,2,0,11797,DNge041,DNge041_L,15
32894,AOTU001,cb_intrinsic,1,0,0,10038,pIP1,pIP1_R,15
177757,(untyped),cb_intrinsic,1,0,0,13805,DNg97,DNg97_L,15
519982,VES071,cb_intrinsic,1,0,0,10975,DNa03,DNa03_R,15
11012,LAL157,cb_intrinsic,0,0,1,524412,DNa06,DNa06(PS039)_R,15
13201,LAL015,cb_intrinsic,2,1,1,12348,MDN,MDN_L,15
89545,LAL301m,cb_intrinsic,1,0,0,10192,DNg75,DNg75(hb1874217622)_L,15
89545,LAL301m,cb_intrinsic,1,0,0,11074,DNg13,DNg13_L,15
99855,SMP016_b,cb_intrinsic,2,1,0,523329,DNa10,DNa10_L,15
54534,CB2066,cb_intrinsic,1,1,6,11410,DNpe023,DNpe023(LAL201)_L,15
13490,PFL2,cb_intrinsic,4,61,0,10411,DNb09,DNb09(DNb01)_R,15
10110,OA-VUMa1,cb_intrinsic,9,15,0,10360,DNa02,DNa02_R,15
16493,LAL113,cb_intrinsic,1,0,0,521624,DNpe023,DNpe023(LAL201)_R,15
12566,WED080,cb_intrinsic,82,0,23,555871,DNpe017,DNpe017(hb1406000196)_R,15
29622,AOTU002_b,cb_intrinsic,1,0,0,513711,DNa09,DNa09_L,15
21848,CL215,cb_intrinsic,1,0,0,10091,DNpe042,DNpe042(CL262)_L,15
36487,CRE014,cb_intrinsic,2,0,2,519896,DNa06,DNa06(PS039)_L,15
12566,WED080,cb_intrinsic,82,0,23,10038,pIP1,pIP1_R,15
